Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1979926,1979926,0,,1991648,1991648,0,,3971574,3971574,0,762542208,762541248,1626887,0,0,0,
1973994,1973994,0,,1988712,1988712,0,,3962706,3962706,0,760839552,760838208,1635729,0,0,0,
1976826,1976826,0,,1988841,1988841,0,,3965667,3965667,0,761401920,761405568,1632611,0,0,0,
1977324,1977324,0,,1990032,1990032,0,,3967356,3967356,0,761732352,761727744,1631243,0,0,0,
1979073,1979073,0,,1993201,1993201,0,,3972274,3972274,0,762676608,762683136,1625967,0,0,0,
1978843,1978843,0,,1993646,1993646,0,,3972489,3972489,0,762717888,762724608,1625942,0,0,0,
1983452,1983452,0,,1994837,1994837,0,,3978289,3978289,0,763831488,763827456,1620186,0,0,0,
1980396,1980396,0,,1994152,1994152,0,,3974548,3974548,0,763113216,763110528,1623729,0,0,0,
1981612,1981612,0,,1991952,1991920,0,,3973564,3973532,0,762924288,762917376,1624740,0,0,0,
1978100,1978100,0,,1993156,1993188,0,,3971256,3971288,0,762481152,762496896,1627088,0,0,0,
1979100,1979100,0,,1990780,1990780,0,,3969880,3969880,0,762216960,762205440,1628576,0,0,0,
1976392,1976392,0,,1992296,1992296,0,,3968688,3968688,0,761988096,761992704,1629632,0,0,0,
1976652,1976652,0,,1990837,1990837,0,,3967489,3967489,0,761764032,761765376,1630880,0,0,0,
1978268,1978268,0,,1991304,1991272,0,,3969572,3969540,0,762151680,762147840,1628937,0,0,0,
1978675,1978675,0,,1993695,1993727,0,,3972370,3972402,0,762701184,762703104,1626005,0,0,0,
1977802,1977802,0,,1991920,1991888,0,,3969722,3969690,0,762180480,762185472,1628610,0,0,0,
1978872,1978872,0,,1993684,1993716,0,,3972556,3972588,0,762730752,762725376,1625679,0,0,0,
1983795,1983795,0,,1998148,1998148,0,,3981943,3981943,0,764533056,764534976,1616545,0,0,0,
1976776,1976776,0,,1987392,1987392,0,,3964168,3964168,0,761120256,761112192,1634172,0,0,0,
1976968,1976968,0,,1991016,1990984,0,,3967984,3967952,0,761852928,761859456,1630418,0,0,0,
1981468,1981468,0,,1996638,1996670,0,,3978106,3978138,0,763802496,763795776,1620304,0,0,0,
356815,356815,0,,360162,360130,0,,716977,716945,0,137653440,137646144,287363,0,0,0,
176480,176480,0,,178256,178256,0,,354736,354736,0,68109312,68127936,42924,0,0,0,
1975853,1975853,0,,1988808,1988840,0,,3964661,3964693,0,761221056,761206848,713543,0,0,0,
1969855,1969855,0,,1984228,1984228,0,,3954083,3954083,0,759183936,759185664,724031,0,0,0,
1974276,1974276,0,,1989124,1989124,0,,3963400,3963400,0,760966656,760969152,714956,0,0,0,
1970725,1970725,0,,1982859,1982859,0,,3953584,3953584,0,759094272,759091968,724585,0,0,0,
1973202,1973202,0,,1985684,1985684,0,,3958886,3958886,0,760106112,760106112,719248,0,0,0,
1970658,1970658,0,,1983510,1983478,0,,3954168,3954136,0,759194112,759200832,724118,0,0,0,
1976089,1976089,0,,1990791,1990823,0,,3966880,3966912,0,761640960,761634432,711280,0,0,0,
1975398,1975398,0,,1989240,1989240,0,,3964638,3964638,0,761210496,761210112,713566,0,0,0,
1978249,1978249,0,,1992131,1992099,0,,3970380,3970348,0,762312960,762326208,707866,0,0,0,
1977712,1977712,0,,1990893,1990925,0,,3968605,3968637,0,761972160,761964288,709680,0,0,0,
1974544,1974544,0,,1989463,1989463,0,,3964007,3964007,0,761089344,761093376,714234,0,0,0,
1972170,1972170,0,,1988069,1988069,0,,3960239,3960239,0,760365888,760356480,717999,0,0,0,
1974058,1974058,0,,1988240,1988240,0,,3962298,3962298,0,760761216,760763520,715854,0,0,0,
1973628,1973628,0,,1988937,1988937,0,,3962565,3962565,0,760812480,760823808,715680,0,0,0,
1977028,1977028,0,,1991448,1991447,0,,3968476,3968475,0,761947392,761939712,709611,0,0,0,
1971284,1971284,0,,1985275,1985276,0,,3956559,3956560,0,759659328,759659904,721613,0,0,0,
1976809,1976809,0,,1990444,1990444,0,,3967253,3967253,0,761718720,761717568,711066,0,0,0,
1971588,1971588,0,,1987792,1987792,0,,3959380,3959380,0,760194816,760205568,718793,0,0,0,
1972743,1972743,0,,1989468,1989468,0,,3962211,3962211,0,760744512,760733952,716065,0,0,0,
1972284,1972284,0,,1987549,1987517,0,,3959833,3959801,0,760287936,760289088,718391,0,0,0,
1973957,1973957,0,,1990769,1990801,0,,3964726,3964758,0,761227392,761222016,713516,0,0,0,
1976286,1976286,0,,1992490,1992458,0,,3968776,3968744,0,762004992,762003840,709432,0,0,0,
1975512,1975512,0,,1990684,1990716,0,,3966196,3966228,0,761509632,761513472,711980,0,0,0,
1133273,1133273,0,,1142182,1142150,0,,2275455,2275423,0,436887360,436877184,412198,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1356532,1356532,0,,1365154,1365186,0,,2721686,2721718,0,522563712,522572352,141861,0,0,0,
1974420,1974420,0,,1988736,1988736,0,,3963156,3963156,0,760925952,760929600,245558,0,0,0,
1973504,1973504,0,,1987292,1987292,0,,3960796,3960796,0,760478976,760474368,247943,0,0,0,
1976756,1976756,0,,1991912,1991912,0,,3968668,3968668,0,761978112,761979456,240204,0,0,0,
1974039,1974039,0,,1986904,1986904,0,,3960943,3960943,0,760501056,760498176,247817,0,0,0,
1970647,1970647,0,,1983708,1983708,0,,3954355,3954355,0,759236160,759241152,254455,0,0,0,
1972569,1972569,0,,1987385,1987385,0,,3959954,3959954,0,760311168,760313856,248819,0,0,0,
1977349,1977349,0,,1990868,1990836,0,,3968217,3968185,0,761897664,761902272,240634,0,0,0,
1973568,1973568,0,,1986503,1986535,0,,3960071,3960103,0,760333632,760325568,248779,0,0,0,
1970608,1970608,0,,1987424,1987392,0,,3958032,3958000,0,759942144,759944832,250766,0,0,0,
1972000,1972000,0,,1987252,1987284,0,,3959252,3959284,0,760182528,760176384,249501,0,0,0,
1973382,1973382,0,,1986563,1986531,0,,3959945,3959913,0,760303296,760305024,248870,0,0,0,
1976528,1976528,0,,1987453,1987485,0,,3963981,3964013,0,761084352,761083392,244826,0,0,0,
1972466,1972466,0,,1987876,1987876,0,,3960342,3960342,0,760385664,760394112,248406,0,0,0,
1974670,1974670,0,,1986532,1986532,0,,3961202,3961202,0,760550784,760547328,247579,0,0,0,
1968866,1968866,0,,1984128,1984096,0,,3952994,3952962,0,758974848,758968896,255884,0,0,0,
1976386,1976386,0,,1991132,1991162,0,,3967518,3967548,0,761763456,761762496,241204,0,0,0,
1976038,1976038,0,,1990309,1990279,0,,3966347,3966317,0,761538624,761547072,242483,0,0,0,
1976311,1976311,0,,1989391,1989423,0,,3965702,3965734,0,761414784,761413056,243053,0,0,0,
1972113,1972113,0,,1987394,1987392,0,,3959507,3959505,0,760225344,760218624,249274,0,0,0,
1971804,1971804,0,,1985746,1985748,0,,3957550,3957552,0,759849600,759858432,251331,0,0,0,
1974315,1974315,0,,1989339,1989339,0,,3963654,3963654,0,761027712,761014272,245096,0,0,0,
1973781,1973781,0,,1985649,1985649,0,,3959430,3959430,0,760204416,760218816,249371,0,0,0,
1890883,1890883,0,,1903648,1903616,0,,3794531,3794499,0,728549952,728534400,242197,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
611861,611861,0,,611888,611920,0,,1223749,1223781,0,234959808,234972480,0,0,0,0,
1981892,1981892,0,,1982244,1982244,0,,3964136,3964136,0,761120256,761115264,0,0,0,0,
1982584,1982584,0,,1982308,1982276,0,,3964892,3964860,0,761253120,761262336,0,0,0,0,
1982171,1982171,0,,1982276,1982276,0,,3964447,3964447,0,761173824,761170944,0,0,0,0,
1982545,1982545,0,,1982332,1982332,0,,3964877,3964877,0,761256384,761256768,0,0,0,0,
1982291,1982291,0,,1982296,1982328,0,,3964587,3964619,0,761200704,761195520,0,0,0,0,
1982213,1982213,0,,1982224,1982224,0,,3964437,3964437,0,761178048,761177088,0,0,0,0,
1982339,1982339,0,,1982320,1982288,0,,3964659,3964627,0,761208384,761208192,0,0,0,0,
1982081,1982081,0,,1982180,1982212,0,,3964261,3964293,0,761144256,761144256,0,0,0,0,
1981976,1981976,0,,1982076,1982076,0,,3964052,3964052,0,761091840,761090112,0,0,0,0,
1982448,1982448,0,,1982291,1982291,0,,3964739,3964739,0,761236032,761244672,0,0,0,0,
1982503,1982503,0,,1982462,1982430,0,,3964965,3964933,0,761267136,761265024,0,0,0,0,
1982345,1982345,0,,1982351,1982351,0,,3964696,3964696,0,761221632,761223360,0,0,0,0,
