Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2877784,2877784,0,,2631039,2631043,0,,3339127,3339124,0,,2723414,2723385,0,,2780240,2780231,0,,2756124,2756120,0,,2975646,2975648,0,,20083374,20083335,0,3856005504,3856006272,221,0,0,0,
2876226,2876226,0,,2630139,2630146,0,,3336580,3336582,0,,2720862,2720870,0,,2788363,2788377,0,,2753605,2753612,0,,2977153,2977154,0,,20082928,20082967,0,3855931776,3855927744,693,0,0,0,
2880540,2880540,0,,2625573,2625562,0,,3336821,3336818,0,,2723631,2723620,0,,2786513,2786499,0,,2752980,2752973,0,,2976818,2976810,0,,20082876,20082822,0,3855899712,3855896832,770,0,0,0,
2877204,2877204,0,,2633600,2633605,0,,3336526,3336536,0,,2721052,2721061,0,,2782055,2782062,0,,2757531,2757540,0,,2974615,2974615,0,,20082583,20082623,0,3855864192,3855863808,870,0,0,0,
2879978,2879978,0,,2626935,2626938,0,,3336119,3336121,0,,2719137,2719130,0,,2790228,2790228,0,,2753442,2753448,0,,2977611,2977611,0,,20083450,20083454,0,3856022592,3856022208,147,0,0,0,
2876894,2876894,0,,2628519,2628512,0,,3337430,3337448,0,,2724699,2724697,0,,2783081,2783076,0,,2753947,2753932,0,,2977369,2977369,0,,20081939,20081928,0,3855729024,3855736896,1243,0,0,0,
2876687,2876687,0,,2631363,2631362,0,,3336926,3336896,0,,2720505,2720505,0,,2785140,2785138,0,,2756893,2756893,0,,2976133,2976133,0,,20083647,20083614,0,3856055232,3856050048,270,0,0,0,
2880872,2880872,0,,2626409,2626409,0,,3335914,3335922,0,,2719030,2719032,0,,2789979,2789979,0,,2753062,2753068,0,,2977195,2977195,0,,20082461,20082477,0,3855839040,3855839424,1041,0,0,0,
2204531,2204531,0,,2017392,2017392,0,,2558847,2558839,0,,2087831,2087829,0,,2128236,2128236,0,,2111582,2111576,0,,2278514,2278514,0,,15386933,15386917,0,2954284416,2954281344,215,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4082048,4082048,0,,3727783,3727783,0,,4655215,4655245,0,,3844655,3844659,0,,3945937,3945945,0,,3906301,3906314,0,,4220247,4220276,0,,28382186,28382270,0,5449386432,5449398912,93204,0,0,0,
4309175,4309175,0,,3937548,3937548,0,,4911991,4911990,0,,4063821,4063848,0,,4167967,4167969,0,,4125222,4125218,0,,4457837,4457808,0,,29973561,29973556,0,5754933888,5754936192,103979,0,0,0,
4311262,4311262,0,,3936935,3936936,0,,4914524,4914501,0,,4063437,4063435,0,,4169451,4169441,0,,4125420,4125422,0,,4457002,4457034,0,,29978031,29978031,0,5755777344,5755771008,100844,0,0,0,
4309680,4309680,0,,3937284,3937284,0,,4914921,4914915,0,,4063012,4062983,0,,4168018,4168018,0,,4125261,4125250,0,,4457608,4457576,0,,29975784,29975706,0,5755338432,5755336512,102614,0,0,0,
4310159,4310159,0,,3938596,3938614,0,,4912934,4912934,0,,4061366,4061370,0,,4167848,4167864,0,,4126601,4126601,0,,4458306,4458322,0,,29975810,29975864,0,5755367424,5755366848,102849,0,0,0,
4309640,4309640,0,,3938757,3938762,0,,4913796,4913828,0,,4060479,4060477,0,,4169555,4169539,0,,4126085,4126096,0,,4457815,4457807,0,,29976127,29976149,0,5755413696,5755420032,101831,0,0,0,
4310885,4310885,0,,3938047,3938029,0,,4915999,4915999,0,,4061693,4061695,0,,4168644,4168673,0,,4126068,4126057,0,,4456656,4456649,0,,29977992,29977987,0,5755768896,5755771776,100379,0,0,0,
4310953,4310953,0,,3937603,3937600,0,,4915245,4915213,0,,4061971,4061967,0,,4169104,4169100,0,,4126952,4126952,0,,4457781,4457780,0,,29979609,29979565,0,5756088192,5756083008,99545,0,0,0,
4310513,4310513,0,,3938280,3938282,0,,4914024,4914056,0,,4063132,4063135,0,,4169128,4169106,0,,4126041,4126041,0,,4456976,4456976,0,,29978094,29978109,0,5755792320,5755798464,99938,0,0,0,
4310349,4310349,0,,3938276,3938271,0,,4912300,4912268,0,,4062381,4062379,0,,4170594,4170591,0,,4126061,4126064,0,,4457794,4457823,0,,29977755,29977745,0,5755731648,5755721088,100175,0,0,0,
4310178,4310178,0,,3936905,3936905,0,,4913500,4913500,0,,4062870,4062875,0,,4169832,4169863,0,,4125753,4125782,0,,4458472,4458443,0,,29977510,29977546,0,5755682688,5755698624,101140,0,0,0,
4310500,4310500,0,,3937382,3937382,0,,4913446,4913478,0,,4061377,4061372,0,,4170606,4170605,0,,4125126,4125094,0,,4458120,4458152,0,,29976557,29976583,0,5755497024,5755498560,101376,0,0,0,
4309923,4309923,0,,3938137,3938140,0,,4914325,4914325,0,,4061102,4061110,0,,4170124,4170126,0,,4126043,4126043,0,,4458032,4458012,0,,29977686,29977679,0,5755719552,5755708800,101278,0,0,0,
4310458,4310458,0,,3937981,3937980,0,,4916837,4916836,0,,4061816,4061807,0,,4170089,4170057,0,,4124670,4124675,0,,4457839,4457859,0,,29979690,29979672,0,5756091072,5756093376,98281,0,0,0,
4311646,4311646,0,,3936910,3936908,0,,4914692,4914668,0,,4061218,4061218,0,,4169894,4169894,0,,4125431,4125458,0,,4457352,4457324,0,,29977143,29977116,0,5755614528,5755613568,102093,0,0,0,
4311446,4311446,0,,3936761,3936761,0,,4913414,4913412,0,,4061217,4061217,0,,4171155,4171187,0,,4125591,4125559,0,,4457271,4457275,0,,29976855,29976857,0,5755554624,5755553280,101347,0,0,0,
4310694,4310694,0,,3937477,3937479,0,,4913722,4913722,0,,4061882,4061884,0,,4170834,4170831,0,,4124932,4124941,0,,4458502,4458494,0,,29978043,29978045,0,5755785792,5755779264,100593,0,0,0,
4310888,4310888,0,,3936296,3936298,0,,4915506,4915523,0,,4061719,4061722,0,,4169522,4169524,0,,4125741,4125732,0,,4458085,4458117,0,,29977757,29977804,0,5755731072,5755739328,100266,0,0,0,
4310706,4310706,0,,3937056,3937053,0,,4913148,4913158,0,,4062654,4062681,0,,4167624,4167603,0,,4125098,4125098,0,,4457940,4457940,0,,29974226,29974239,0,5755053888,5755059840,103023,0,0,0,
4310380,4310380,0,,3937617,3937621,0,,4915495,4915477,0,,4063728,4063726,0,,4168555,4168551,0,,4125323,4125324,0,,4458375,4458375,0,,29979473,29979454,0,5756055744,5756055744,99449,0,0,0,
4309997,4309997,0,,3937634,3937632,0,,4915697,4915712,0,,4063228,4063198,0,,4167465,4167464,0,,4125868,4125899,0,,4457097,4457097,0,,29976986,29976999,0,5755586688,5755586496,101318,0,0,0,
4309953,4309953,0,,3938964,3938965,0,,4914836,4914837,0,,4061771,4061771,0,,4168250,4168245,0,,4125997,4125965,0,,4458227,4458205,0,,29977998,29977941,0,5755773312,5755769664,100575,0,0,0,
4308671,4308671,0,,3939138,3939139,0,,4912822,4912824,0,,4060824,4060824,0,,4168788,4168788,0,,4126266,4126287,0,,4457878,4457868,0,,29974387,29974401,0,5755080768,5755077312,103556,0,0,0,
4311275,4311275,0,,3937325,3937328,0,,4913105,4913102,0,,4061794,4061798,0,,4168748,4168748,0,,4126279,4126290,0,,4456301,4456301,0,,29974827,29974842,0,5755168128,5755165632,103666,0,0,0,
4309695,4309695,0,,3938806,3938801,0,,4913330,4913311,0,,4061439,4061435,0,,4168053,4168061,0,,4126560,4126536,0,,4458242,4458254,0,,29976125,29976093,0,5755421568,5755411584,103666,0,0,0,
4310457,4310457,0,,3938709,3938706,0,,4913859,4913852,0,,4061754,4061757,0,,4169319,4169318,0,,4125528,4125520,0,,4456767,4456755,0,,29976393,29976365,0,5755455936,5755462656,102699,0,0,0,
4309674,4309674,0,,3938472,3938478,0,,4910978,4910981,0,,4061527,4061524,0,,4169380,4169373,0,,4126506,4126506,0,,4457595,4457627,0,,29974132,29974163,0,5755033152,5755035264,103159,0,0,0,
