Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Lcore 7,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2586581,2586581,0,,2283048,2283046,0,,2503469,2503473,0,,2524983,2524983,0,,2448921,2448917,0,,2430261,2430245,0,,2361840,2361843,0,,2930436,2930438,0,,20069539,20069526,0,3853356864,3853358592,11210,0,0,0,
2579538,2579538,0,,2285682,2285687,0,,2506256,2506256,0,,2528101,2528101,0,,2450311,2450320,0,,2431068,2431066,0,,2362912,2362909,0,,2927575,2927575,0,,20071443,20071452,0,3853719936,3853717632,11683,0,0,0,
2582072,2582072,0,,2281122,2281117,0,,2502009,2502007,0,,2528119,2528121,0,,2449381,2449376,0,,2437917,2437917,0,,2364558,2364558,0,,2927934,2927932,0,,20073112,20073100,0,3854030016,3854036736,10457,0,0,0,
2586955,2586955,0,,2283935,2283944,0,,2504869,2504867,0,,2524778,2524776,0,,2447519,2447529,0,,2429395,2429395,0,,2361979,2362009,0,,2932154,2932183,0,,20071584,20071658,0,3853752960,3853750080,11285,0,0,0,
2578448,2578448,0,,2284694,2284686,0,,2505524,2505530,0,,2531633,2531644,0,,2449223,2449212,0,,2432513,2432516,0,,2364416,2364394,0,,2926432,2926419,0,,20072883,20072849,0,3853991040,3853992192,11305,0,0,0,
2583558,2583558,0,,2282766,2282764,0,,2501666,2501660,0,,2524675,2524664,0,,2451913,2451910,0,,2435050,2435047,0,,2362108,2362101,0,,2926995,2926979,0,,20068731,20068683,0,3853189056,3853181184,12071,0,0,0,
2584806,2584806,0,,2282675,2282675,0,,2506212,2506217,0,,2525710,2525724,0,,2447529,2447540,0,,2430945,2430945,0,,2362364,2362363,0,,2932674,2932674,0,,20072915,20072944,0,3854004288,3854004288,10657,0,0,0,
2578761,2578761,0,,2282887,2282887,0,,2502889,2502884,0,,2530981,2530970,0,,2448317,2448318,0,,2436417,2436426,0,,2364687,2364687,0,,2927808,2927808,0,,20072747,20072741,0,3853966272,3853966272,10852,0,0,0,
2586514,2586514,0,,2283290,2283301,0,,2503411,2503413,0,,2524870,2524870,0,,2449538,2449526,0,,2430972,2430972,0,,2362527,2362527,0,,2930812,2930844,0,,20071934,20071967,0,3853813632,3853825344,11063,0,0,0,
2580593,2580593,0,,2285585,2285577,0,,2506457,2506457,0,,2527660,2527657,0,,2450230,2450230,0,,2431249,2431242,0,,2362461,2362493,0,,2928169,2928137,0,,20072404,20072386,0,3853902144,3853899456,11651,0,0,0,
2580649,2580649,0,,2281011,2281008,0,,2501205,2501203,0,,2528378,2528378,0,,2448390,2448404,0,,2436988,2436986,0,,2364175,2364144,0,,2926256,2926258,0,,20067052,20067030,0,3852871296,3852862272,11269,0,0,0,
2587462,2587462,0,,2284062,2284062,0,,2504292,2504299,0,,2524854,2524854,0,,2448054,2448040,0,,2429847,2429847,0,,2361555,2361554,0,,2931122,2931152,0,,20071248,20071270,0,3853682496,3853684800,12156,0,0,0,
2577590,2577590,0,,2284301,2284301,0,,2506181,2506174,0,,2530877,2530900,0,,2449219,2449219,0,,2432125,2432128,0,,2364456,2364457,0,,2927595,2927564,0,,20072344,20072333,0,3853888320,3853893888,11033,0,0,0,
2584116,2584116,0,,2282993,2283009,0,,2501703,2501704,0,,2525622,2525599,0,,2451824,2451824,0,,2435603,2435601,0,,2362744,2362746,0,,2927759,2927758,0,,20072364,20072357,0,3853893312,3853885440,11217,0,0,0,
2584923,2584923,0,,2282852,2282836,0,,2506178,2506183,0,,2525308,2525312,0,,2447263,2447263,0,,2430635,2430634,0,,2362845,2362842,0,,2932662,2932694,0,,20072666,20072687,0,3853948416,3853955712,10878,0,0,0,
1719570,1719570,0,,1519307,1519307,0,,1665059,1665053,0,,1681991,1681987,0,,1629119,1629119,0,,1619770,1619770,0,,1572332,1572332,0,,1948566,1948534,0,,13355714,13355672,0,2564295168,2564287872,8133,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1061779,1167306,105527,,1051729,1055848,4118,,1061541,1157561,96014,,1067456,1149117,81629,,1059409,1126925,67484,,1056721,1100049,43296,,1062297,1093635,31309,,1064327,1220691,156332,,8485259,9071132,585709,1629171264,1741663296,211704,0,0,0,
3452392,3789725,337333,,3418938,3424664,5719,,3450826,3748219,297368,,3469188,3722407,253251,,3445113,3665110,219998,,3433534,3557960,124426,,3453407,3544442,91060,,3459265,3955070,495805,,27582663,29407597,1824960,5295878016,5646262656,716639,0,0,0,
