Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
3912010,3912010,0,,3946222,3946254,0,,3773424,3773424,0,,3759789,3759788,0,,3454667,3454667,0,,3745870,3745858,0,,22591982,22592001,0,4337664576,4337666112,1935,0,0,0,
3915679,3915679,0,,3942078,3942046,0,,3769698,3769698,0,,3763685,3763686,0,,3448933,3448963,0,,3752328,3752328,0,,22592401,22592400,0,4337735232,4337743872,1438,0,0,0,
3908536,3908536,0,,3947357,3947369,0,,3774913,3774921,0,,3762381,3762397,0,,3454354,3454329,0,,3744842,3744852,0,,22592383,22592404,0,4337747520,4337735040,1677,0,0,0,
3915940,3915940,0,,3943037,3943027,0,,3768676,3768669,0,,3761727,3761735,0,,3450671,3450666,0,,3752656,3752646,0,,22592707,22592683,0,4337794560,4337800704,1195,0,0,0,
3910565,3910565,0,,3946669,3946667,0,,3773887,3773886,0,,3764785,3764778,0,,3452089,3452089,0,,3745169,3745169,0,,22593164,22593154,0,4337886144,4337880000,907,0,0,0,
3913053,3913053,0,,3944376,3944408,0,,3770935,3770967,0,,3758630,3758617,0,,3452695,3452702,0,,3751578,3751600,0,,22591267,22591347,0,4337527104,4337543040,1907,0,0,0,
3913172,3913172,0,,3945066,3945048,0,,3771146,3771136,0,,3765836,3765831,0,,3451612,3451605,0,,3745670,3745648,0,,22592502,22592440,0,4337759040,4337743872,2223,0,0,0,
3912217,3912217,0,,3945227,3945244,0,,3773865,3773843,0,,3757141,3757141,0,,3453359,3453366,0,,3750484,3750485,0,,22592293,22592296,0,4337721792,4337731584,1539,0,0,0,
3913848,3913848,0,,3943647,3943616,0,,3769192,3769192,0,,3768165,3768165,0,,3450216,3450209,0,,3747602,3747601,0,,22592670,22592631,0,4337785152,4337775360,1456,0,0,0,
3913176,3913176,0,,3946221,3946222,0,,3773853,3773885,0,,3756705,3756705,0,,3453355,3453358,0,,3748572,3748575,0,,22591882,22591921,0,4337641536,4337651136,1921,0,0,0,
3913509,3913509,0,,3942025,3942038,0,,3770138,3770112,0,,3766154,3766154,0,,3450308,3450315,0,,3750016,3750013,0,,22592150,22592141,0,4337699904,4337695488,2019,0,0,0,
