Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
661965,661965,0,,654218,654218,0,,643431,643431,0,,587472,587472,0,,2547086,2547086,0,489040406,489039638,252226,0,0,0,
661088,661088,0,,652307,652307,0,,642510,642510,0,,586079,586079,0,,2541984,2541984,0,488060928,488064576,257420,0,0,0,
660305,660305,0,,651811,651809,0,,642124,642124,0,,587113,587113,0,,2541353,2541351,0,487939670,487934294,258079,0,0,0,
662619,662619,0,,654397,654399,0,,643206,643206,0,,587186,587186,0,,2547408,2547410,0,489102336,489102144,251902,0,0,0,
661482,661482,0,,653487,653487,0,,642689,642689,0,,586817,586817,0,,2544475,2544475,0,488539200,488539776,255028,0,0,0,
662825,662825,0,,654864,654864,0,,643998,643998,0,,588651,588651,0,,2550338,2550338,0,489664896,489668928,249085,0,0,0,
661899,661899,0,,653843,653843,0,,642107,642107,0,,588004,588004,0,,2545853,2545853,0,488803670,488801366,253556,0,0,0,
662681,662681,0,,654649,654649,0,,643296,643296,0,,587388,587388,0,,2548014,2548014,0,489218688,489219840,251534,0,0,0,
113584,113584,0,,112502,112470,0,,110947,110915,0,,101957,101925,0,,438990,438894,0,84285974,84263318,41380,0,0,0,
60324,60324,0,,60312,60324,0,,60311,60324,0,,60311,60324,0,,241258,241296,0,46321536,46328832,0,0,0,0,
583105,583105,0,,583109,583104,0,,583109,583104,0,,583088,583104,0,,2332411,2332417,0,447824342,447823958,0,0,0,0,
583124,583124,0,,583131,583124,0,,583132,583124,0,,583153,583124,0,,2332540,2332496,0,447846144,447839232,0,0,0,0,
583105,583105,0,,583104,583104,0,,583098,583104,0,,583097,583104,0,,2332404,2332417,0,447823958,447823958,0,0,0,0,
583123,583123,0,,583100,583124,0,,583130,583124,0,,583100,583122,0,,2332453,2332493,0,447838656,447839040,0,0,0,0,
583098,583098,0,,583120,583104,0,,583074,583104,0,,583105,583106,0,,2332397,2332412,0,447809942,447822614,0,0,0,0,
583127,583127,0,,583107,583124,0,,583124,583119,0,,583124,583119,0,,2332482,2332489,0,447846144,447838848,0,0,0,0,
583109,583109,0,,583129,583104,0,,583134,583109,0,,583134,583109,0,,2332506,2332431,0,447831552,447825792,0,0,0,0,
583124,583124,0,,583112,583124,0,,583112,583124,0,,583095,583124,0,,2332443,2332496,0,447833664,447839232,0,0,0,0,
583103,583103,0,,583116,583104,0,,583116,583104,0,,583133,583104,0,,2332468,2332415,0,447829142,447823574,0,0,0,0,
583126,583126,0,,583122,583122,0,,583122,583124,0,,583117,583124,0,,2332487,2332496,0,447837504,447839616,0,0,0,0,
583100,583100,0,,583097,583106,0,,583076,583099,0,,583081,583104,0,,2332354,2332409,0,447811862,447822038,0,0,0,0,
583129,583129,0,,583103,583124,0,,583127,583129,0,,583127,583124,0,,2332486,2332506,0,447837312,447841152,0,0,0,0,
