Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
371337,371337,0,,362022,362022,0,,358792,358794,0,,311033,311036,0,,346628,346626,0,,364214,364214,0,,2114026,2114029,0,405892992,405894144,1621431,0,0,0,
371265,371265,0,,362101,362101,0,,359078,359075,0,,311118,311118,0,,347640,347642,0,,363120,363119,0,,2114322,2114320,0,405955968,405946560,1621194,0,0,0,
370029,370029,0,,361829,361829,0,,358850,358853,0,,311913,311913,0,,346388,346387,0,,363306,363307,0,,2112315,2112318,0,405558336,405565824,1623233,0,0,0,
370189,370189,0,,362032,362031,0,,359293,359293,0,,311011,311011,0,,346407,346408,0,,364410,364409,0,,2113342,2113341,0,405761664,405760512,1622098,0,0,0,
312682,312682,0,,305509,305478,0,,303077,303045,0,,263858,263826,0,,292975,292943,0,,307047,307016,0,,1785148,1784990,0,342748416,342715968,1334230,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
132268,132268,0,,132268,132268,0,,132230,132230,0,,132210,132230,0,,132230,132230,0,,132214,132230,0,,793420,793456,0,152343552,152343552,0,0,0,0,
312327,312327,0,,312312,312332,0,,312223,312242,0,,312242,312238,0,,312238,312242,0,,312238,312242,0,,1873580,1873623,0,359720448,359735616,0,0,0,0,
312337,312337,0,,312332,312332,0,,312242,312242,0,,312254,312246,0,,312227,312242,0,,312262,312242,0,,1873654,1873641,0,359745216,359739072,0,0,0,0,
312344,312344,0,,312364,312344,0,,312275,312256,0,,312264,312256,0,,312275,312256,0,,312256,312256,0,,1873778,1873712,0,359761728,359752704,0,0,0,0,
