Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5326972,5326972,0,,5326967,5326999,0,,10653939,10653971,0,1811169630,2045565504,0,0,0,0,
12190471,12190471,0,,12190440,12190440,0,,24380911,24380911,0,4144760310,4681133568,0,0,0,0,
12190496,12190496,0,,12190488,12190456,0,,24380984,24380952,0,4144761840,4681148736,0,0,0,0,
12190548,12190548,0,,12190523,12190553,0,,24381071,24381101,0,4144782070,4681165248,0,0,0,0,
12190530,12190530,0,,12190577,12190577,0,,24381107,24381107,0,4144793290,4681177728,0,0,0,0,
12190256,12190256,0,,12190253,12190255,0,,24380509,24380511,0,4144686870,4681056384,0,0,0,0,
12190804,12190804,0,,12190828,12190810,0,,24381632,24381614,0,4144874380,4681265472,0,0,0,0,
12190646,12190646,0,,12190651,12190637,0,,24381297,24381283,0,4144818110,4681211328,0,0,0,0,
12190234,12190234,0,,12190214,12190243,0,,24380448,24380477,0,4144676160,4681046016,0,0,0,0,
12190599,12190599,0,,12190579,12190582,0,,24381178,24381181,0,4144805700,4681187520,0,0,0,0,
12190528,12190528,0,,12190474,12190474,0,,24381002,24381002,0,4144770340,4681157568,0,0,0,0,
12190457,12190457,0,,12190506,12190474,0,,24380963,24380931,0,4144758270,4681141824,0,0,0,0,
12190368,12190368,0,,12190384,12190414,0,,24380752,24380782,0,4144727840,4681102464,0,0,0,0,
12190587,12190587,0,,12190596,12190597,0,,24381183,24381184,0,4144806380,4681187136,0,0,0,0,
12190604,12190604,0,,12190612,12190611,0,,24381216,24381215,0,4144801450,4681192128,0,0,0,0,
12190494,12190494,0,,12190484,12190484,0,,24380978,24380978,0,4144771360,4681152768,0,0,0,0,
12190398,12190398,0,,12190438,12190408,0,,24380836,24380806,0,4144737020,4681116288,0,0,0,0,
12190174,12190174,0,,12190148,12190178,0,,24380322,24380352,0,4144654740,4681022208,0,0,0,0,
12189783,12189783,0,,12189724,12189726,0,,24379507,24379509,0,4144521630,4680879168,0,0,0,0,
12190248,12190248,0,,12190248,12190247,0,,24380496,24380495,0,4144684150,4681046400,0,0,0,0,
12190393,12190393,0,,12190435,12190434,0,,24380828,24380827,0,4144740590,4681113216,0,0,0,0,
12190413,12190413,0,,12190415,12190417,0,,24380828,24380830,0,4144741100,4681123776,0,0,0,0,
12190685,12190685,0,,12190704,12190703,0,,24381389,24381388,0,4144830690,4681221696,0,0,0,0,
12190478,12190478,0,,12190480,12190459,0,,24380958,24380937,0,4144764560,4681140288,0,0,0,0,
2502530,2502530,0,,2502528,2502518,0,,5005058,5005048,0,850858160,960968832,0,0,0,0,
770700,770700,0,,760690,760719,0,,1531390,1531419,0,260341230,294041280,9149,0,0,0,
12705271,12705271,0,,12525434,12525434,0,,25230705,25230705,0,4289219850,4844286528,186983,0,0,0,
12707606,12707606,0,,12531671,12531674,0,,25239277,25239280,0,4290677600,4845945024,178925,0,0,0,
12708105,12708105,0,,12526263,12526231,0,,25234368,25234336,0,4289837120,4844996928,184450,0,0,0,
12706993,12706993,0,,12523633,12523665,0,,25230626,25230658,0,4289206420,4844278656,186872,0,0,0,
12707320,12707320,0,,12526565,12526563,0,,25233885,25233883,0,4289760450,4844905536,183933,0,0,0,
12706522,12706522,0,,12523878,12523880,0,,25230400,25230402,0,4289168000,4844237184,186785,0,0,0,
