Lcore 0,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
10739272,10739272,0,,10739272,10739272,0,2061940224,2061941760,27496,0,0,0,
10738152,10738152,0,,10738152,10738152,0,2061725184,2061722880,28491,0,0,0,
10718640,10718640,0,,10718640,10718640,0,2057978880,2057981568,47863,0,0,0,
10735900,10735900,0,,10735900,10735900,0,2061292800,2061290880,30442,0,0,0,
10734010,10734010,0,,10734010,10734010,0,2060929920,2060932608,32598,0,0,0,
10743866,10743866,0,,10743866,10743866,0,2062822272,2062818816,22742,0,0,0,
10740676,10740676,0,,10740676,10740676,0,2062209792,2062209792,25836,0,0,0,
10742062,10742062,0,,10742062,10742062,0,2062475904,2062476288,24546,0,0,0,
10739334,10739334,0,,10739334,10739334,0,2061952128,2061955584,27194,0,0,0,
10728356,10728356,0,,10728356,10728356,0,2059844352,2059844352,38252,0,0,0,
10736318,10736318,0,,10736318,10736318,0,2061373056,2061371520,30322,0,0,0,
10723418,10723418,0,,10723418,10723418,0,2058896256,2058893952,43258,0,0,0,
10745440,10745440,0,,10745440,10745440,0,2063124480,2063125056,20972,0,0,0,
10746608,10746608,0,,10746608,10746608,0,2063348736,2063349312,20688,0,0,0,
10735416,10735416,0,,10735416,10735416,0,2061199872,2061198720,29904,0,0,0,
10741148,10741148,0,,10741148,10741148,0,2062300416,2062300416,25340,0,0,0,
10730328,10730328,0,,10730328,10730328,0,2060222976,2060223744,36153,0,0,0,
132356,132356,0,,132356,132356,0,25412352,25411584,759,0,0,0,
2671163,2671163,0,,2671163,2671163,0,512863296,512864256,62969,0,0,0,
10706065,10706065,0,,10706065,10706065,0,2055564480,2055570432,308499,0,0,0,
10707392,10707392,0,,10707392,10707392,0,2055819264,2055815808,307244,0,0,0,
10712124,10712124,0,,10712124,10712124,0,2056727808,2056725120,302356,0,0,0,
10709344,10709344,0,,10709344,10709344,0,2056194048,2056201728,305184,0,0,0,
10707944,10707944,0,,10707944,10707944,0,2055925248,2055916800,306664,0,0,0,
10705894,10705894,0,,10705894,10705894,0,2055531648,2055535104,308459,0,0,0,
10704439,10704439,0,,10704439,10704439,0,2055252288,2055249408,310197,0,0,0,
10712291,10712291,0,,10712291,10712291,0,2056759872,2056759296,302400,0,0,0,
10703504,10703504,0,,10703504,10703504,0,2055072768,2055072768,311104,0,0,0,
10711792,10711792,0,,10711792,10711792,0,2056664064,2056664640,302688,0,0,0,
10709460,10709460,0,,10709460,10709460,0,2056216320,2056215744,305100,0,0,0,
10713748,10713748,0,,10713748,10713748,0,2057039616,2057040384,300860,0,0,0,
10704812,10704812,0,,10704812,10704812,0,2055323904,2055326208,309636,0,0,0,
10708616,10708616,0,,10708616,10708616,0,2056054272,2056052736,305992,0,0,0,
10705564,10705564,0,,10705564,10705564,0,2055468288,2055469056,309028,0,0,0,
10709582,10709582,0,,10709582,10709582,0,2056239744,2056239360,304778,0,0,0,
10706891,10706891,0,,10706891,10706891,0,2055723072,2055722880,307646,0,0,0,
10708319,10708319,0,,10708319,10708319,0,2055997248,2055996096,306272,0,0,0,
10706975,10706975,0,,10706975,10706975,0,2055739200,2055739584,307377,0,0,0,
10703294,10703294,0,,10703294,10703294,0,2055032448,2055033600,311314,0,0,0,
10711668,10711668,0,,10711668,10711668,0,2056640256,2056638144,303037,0,0,0,
10707443,10707443,0,,10707443,10707443,0,2055829056,2055829056,307116,0,0,0,
10711540,10711540,0,,10711540,10711540,0,2056615680,2056615680,302940,0,0,0,
4330828,4330828,0,,4330828,4330828,0,831518976,831518976,123680,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
9148689,9148689,0,,9148689,9148689,0,1756548288,1756548864,349076,0,0,0,
10701659,10701659,0,,10701659,10701659,0,2054718528,2054717952,415340,0,0,0,
10706894,10706894,0,,10706894,10706894,0,2055723648,2055724800,410117,0,0,0,
10710689,10710689,0,,10710689,10710689,0,2056452288,2056451136,406356,0,0,0,
10709153,10709153,0,,10709153,10709153,0,2056157376,2056157376,407875,0,0,0,
10714713,10714713,0,,10714713,10714713,0,2057224896,2057224896,402480,0,0,0,
10709179,10709179,0,,10709179,10709179,0,2056162368,2056170048,407818,0,0,0,
10712824,10712824,0,,10712824,10712824,0,2056862208,2056854528,404278,0,0,0,
10709783,10709783,0,,10709783,10709783,0,2056278336,2056279488,406995,0,0,0,
10703909,10703909,0,,10703909,10703909,0,2055150528,2055149376,412921,0,0,0,
10699952,10699952,0,,10699952,10699952,0,2054390784,2054392320,416779,0,0,0,
10710852,10710852,0,,10710852,10710852,0,2056483584,2056482048,406217,0,0,0,
10709448,10709448,0,,10709448,10709448,0,2056214016,2056214016,407592,0,0,0,
10699667,10699667,0,,10699667,10699667,0,2054336064,2054336064,417293,0,0,0,
10705569,10705569,0,,10705569,10705569,0,2055469248,2055471552,411584,0,0,0,
10704560,10704560,0,,10704560,10704560,0,2055275520,2055273216,412485,0,0,0,
10706188,10706188,0,,10706188,10706188,0,2055588096,2055595776,410801,0,0,0,
10704028,10704028,0,,10704028,10704028,0,2055173376,2055165696,413201,0,0,0,
10709176,10709176,0,,10709176,10709176,0,2056161792,2056161792,407464,0,0,0,
10711896,10711896,0,,10711896,10711896,0,2056684032,2056685760,405064,0,0,0,
10707708,10707708,0,,10707708,10707708,0,2055879936,2055880320,409364,0,0,0,
10705880,10705880,0,,10705880,10705880,0,2055528960,2055527616,410984,0,0,0,
10707180,10707180,0,,10707180,10707180,0,2055778560,2055777792,409864,0,0,0,
8560984,8560984,0,,8560984,8560984,0,1643708928,1643708928,325840,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
4973940,4973940,0,,4973940,4973940,0,954996480,955001088,201888,0,0,0,
10707680,10707680,0,,10707680,10707680,0,2055874560,2055869952,461376,0,0,0,
10702180,10702180,0,,10702180,10702180,0,2054818560,2054818560,466608,0,0,0,
10706772,10706772,0,,10706772,10706772,0,2055700224,2055700224,462226,0,0,0,
10703152,10703152,0,,10703152,10703152,0,2055005184,2055005952,465929,0,0,0,
10708624,10708624,0,,10708624,10708624,0,2056055808,2056055040,460333,0,0,0,
10702473,10702473,0,,10702473,10702473,0,2054874816,2054874816,466455,0,0,0,
10699443,10699443,0,,10699443,10699443,0,2054293056,2054294592,469677,0,0,0,
10707196,10707196,0,,10707196,10707196,0,2055781632,2055782400,461732,0,0,0,
