Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
11001676,11001676,0,,10911382,10911353,0,,11095046,11095044,0,,33008104,33008073,0,8450066688,8450076928,320308,0,0,0,
11000121,11000121,0,,10911996,10912028,0,,11095252,11095254,0,,33007369,33007403,0,8449895168,8449884160,320974,0,0,0,
11001963,11001963,0,,10912408,10912405,0,,11095108,11095108,0,,33009479,33009476,0,8450418432,8450426112,319521,0,0,0,
11001903,11001903,0,,10912450,10912453,0,,11094875,11094875,0,,33009228,33009231,0,8450362368,8450362880,320299,0,0,0,
11001302,11001302,0,,10912319,10912316,0,,11093876,11093875,0,,33007497,33007493,0,8449911040,8449907456,321559,0,0,0,
11002047,11002047,0,,10912068,10912071,0,,11095036,11095035,0,,33009151,33009153,0,8450350848,8450357760,321990,0,0,0,
11001993,11001993,0,,10912630,10912630,0,,11093813,11093811,0,,33008436,33008434,0,8450159616,8450155008,321878,0,0,0,
11001651,11001651,0,,10913123,10913123,0,,11095320,11095324,0,,33010094,33010098,0,8450584064,8450587648,321868,0,0,0,
11002228,11002228,0,,10910949,10910925,0,,11095092,11095092,0,,33008269,33008245,0,8450118912,8450103808,320194,0,0,0,
11002424,11002424,0,,10910842,10910834,0,,11095130,11095130,0,,33008396,33008388,0,8450147328,8450160896,320347,0,0,0,
11001532,11001532,0,,10912073,10912105,0,,11095388,11095388,0,,33008993,33009025,0,8450310400,8450309632,319723,0,0,0,
11002826,11002826,0,,10912271,10912271,0,,11094994,11094962,0,,33010091,33010059,0,8450566912,8450578176,318476,0,0,0,
11000139,11000139,0,,10912436,10912436,0,,11094914,11094946,0,,33007489,33007521,0,8449933568,8449914112,321635,0,0,0,
11000605,11000605,0,,10912485,10912453,0,,11093922,11093922,0,,33007012,33006980,0,8449786880,8449786624,321899,0,0,0,
9167950,9167950,0,,9089968,9089968,0,,9238558,9238526,0,,27496476,27496444,0,7039089664,7039079168,266859,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
161701,161701,0,,162106,162121,0,,159952,159955,0,,483759,483777,0,123846144,123850240,0,0,0,0,
10936457,10936457,0,,10844040,10844057,0,,11028245,11028274,0,,32808742,32808788,0,8399034112,8399055360,309258,0,0,0,
10999670,10999670,0,,10912129,10912129,0,,11094987,11094987,0,,33006786,33006786,0,8449737216,8449739776,324671,0,0,0,
10999700,10999700,0,,10912316,10912316,0,,11093836,11093836,0,,33005852,33005852,0,8449506304,8449500416,323939,0,0,0,
11000028,11000028,0,,10913013,10913013,0,,11095292,11095291,0,,33008333,33008332,0,8450132992,8450134528,323219,0,0,0,
11002282,11002282,0,,10911941,10911941,0,,11095156,11095157,0,,33009379,33009380,0,8450393088,8450388480,320580,0,0,0,
11001029,11001029,0,,10910029,10909997,0,,11095284,11095284,0,,33006342,33006310,0,8449631744,8449629952,322389,0,0,0,
10998741,10998741,0,,10912330,10912361,0,,11095301,11095269,0,,33006372,33006371,0,8449630976,8449632256,322450,0,0,0,
11002931,11002931,0,,10912149,10912147,0,,11095257,11095257,0,,33010337,33010335,0,8450645760,8450651648,318317,0,0,0,
11001588,11001588,0,,10911891,10911862,0,,11094256,11094256,0,,33007735,33007706,0,8449972736,8449972992,319825,0,0,0,
11002534,11002534,0,,10912501,10912533,0,,11094297,11094297,0,,33009332,33009364,0,8450388992,8450381312,319872,0,0,0,
11001807,11001807,0,,10912180,10912178,0,,11094718,11094750,0,,33008705,33008735,0,8450244352,8450240256,320947,0,0,0,
11000233,11000233,0,,10912527,10912527,0,,11094023,11094002,0,,33006783,33006762,0,8449731072,8449730816,325193,0,0,0,
11000999,11000999,0,,10912597,10912599,0,,11094799,11094817,0,,33008395,33008415,0,8450154240,8450160128,321752,0,0,0,
11001424,11001424,0,,10912796,10912783,0,,11095158,11095161,0,,33009378,33009368,0,8450390016,8450388480,321507,0,0,0,
11000331,11000331,0,,10910144,10910125,0,,11095420,11095420,0,,33005895,33005876,0,8449504256,8449512448,323481,0,0,0,
11001266,11001266,0,,10911787,10911818,0,,11095147,11095115,0,,33008200,33008199,0,8450107136,8450098176,319931,0,0,0,
11001024,11001024,0,,10912059,10912060,0,,11095375,11095407,0,,33008458,33008491,0,8450157312,8450164224,320098,0,0,0,
1167027,1167027,0,,1153811,1153779,0,,1168111,1168079,0,,3488949,3488885,0,893170944,893147904,34999,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
