Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
783701,783701,0,,2777787,2777770,0,,658645,658644,0,,2172133,2172133,0,,14747946,14747946,0,,892574,892574,0,,22032786,22032768,0,4230295296,4230302016,509674,0,0,0,
783688,783688,0,,2777886,2777886,0,,658623,658623,0,,2171953,2171957,0,,14756308,14756308,0,,892545,892545,0,,22041003,22041007,0,4231870464,4231864704,500599,0,0,0,
783681,783681,0,,2777893,2777893,0,,658649,658649,0,,2172122,2172118,0,,14759676,14759644,0,,892573,892573,0,,22044594,22044558,0,4232555712,4232561088,497741,0,0,0,
783670,783670,0,,2777931,2777931,0,,658634,658634,0,,2172133,2172133,0,,14747884,14747916,0,,892559,892559,0,,22032811,22032843,0,4230306816,4230300864,509361,0,0,0,
783530,783530,0,,2777421,2777421,0,,658576,658576,0,,2171905,2171905,0,,14742894,14742894,0,,892468,892468,0,,22026794,22026794,0,4229143872,4229140608,513777,0,0,0,
783650,783650,0,,2777996,2777996,0,,658641,658641,0,,2172132,2172132,0,,14753777,14753777,0,,892562,892562,0,,22038758,22038758,0,4231439424,4231442880,503618,0,0,0,
783649,783649,0,,2777860,2777860,0,,658609,658611,0,,2172057,2172057,0,,14735226,14735226,0,,892491,892491,0,,22019892,22019894,0,4227819648,4227826944,521353,0,0,0,
783645,783645,0,,2777939,2777939,0,,658645,658643,0,,2172066,2172066,0,,14736107,14736107,0,,892502,892507,0,,22020904,22020907,0,4228014528,4227999936,521040,0,0,0,
783679,783679,0,,2777871,2777871,0,,658638,658641,0,,2172044,2172064,0,,14748889,14748889,0,,892531,892534,0,,22033652,22033678,0,4230467520,4230472512,508040,0,0,0,
783654,783654,0,,2777852,2777853,0,,658571,658574,0,,2172004,2171984,0,,14748321,14748289,0,,892506,892498,0,,22032908,22032852,0,4230307200,4230319104,508907,0,0,0,
783657,783657,0,,2777724,2777723,0,,658580,658574,0,,2171957,2171986,0,,14757366,14757366,0,,892509,892509,0,,22041793,22041815,0,4232029632,4232035584,499971,0,0,0,
783614,783614,0,,2777755,2777755,0,,658558,658558,0,,2171785,2171756,0,,14741277,14741309,0,,892465,892465,0,,22025454,22025457,0,4228886592,4228869504,515631,0,0,0,
783650,783650,0,,2777703,2777703,0,,658607,658607,0,,2172018,2172018,0,,14736613,14736613,0,,892511,892515,0,,22021102,22021106,0,4228051776,4228053504,519221,0,0,0,
783691,783691,0,,2777960,2777960,0,,658631,658631,0,,2172101,2172122,0,,14740978,14740978,0,,892555,892552,0,,22025916,22025934,0,4228981248,4228979328,516259,0,0,0,
783693,783693,0,,2777681,2777684,0,,658631,658631,0,,2171965,2171944,0,,14745780,14745780,0,,892554,892553,0,,22030304,22030285,0,4229812032,4229811456,510779,0,0,0,
783656,783656,0,,2777751,2777748,0,,658607,658607,0,,2172017,2172017,0,,14754725,14754693,0,,892533,892533,0,,22039289,22039254,0,4231536576,4231539456,501842,0,0,0,
783560,783560,0,,2777972,2777972,0,,658633,658633,0,,2172044,2172064,0,,14741014,14741043,0,,892557,892557,0,,22025780,22025829,0,4228959168,4228956288,516125,0,0,0,
783669,783669,0,,2777601,2777624,0,,658604,658604,0,,2172059,2172062,0,,14753019,14753022,0,,892524,892530,0,,22037476,22037511,0,4231203072,4231211520,504397,0,0,0,
783630,783630,0,,2777828,2777805,0,,658625,658625,0,,2172069,2172046,0,,14755310,14755310,0,,892520,892514,0,,22039982,22039930,0,4231666176,4231663680,501682,0,0,0,
783662,783662,0,,2777881,2777881,0,,658622,658622,0,,2172089,2172089,0,,14748078,14748078,0,,892506,892506,0,,22032838,22032838,0,4230305856,4230299904,509135,0,0,0,
783681,783681,0,,2777958,2777958,0,,658644,658644,0,,2172090,2172090,0,,14758530,14758530,0,,892562,892562,0,,22043465,22043465,0,4232344512,4232344896,498413,0,0,0,
183196,183196,0,,649394,649394,0,,153970,153970,0,,507764,507764,0,,3450045,3450013,0,,208635,208635,0,,5153004,5152972,0,989369856,989363904,123954,0,0,0,
30685,30685,0,,108870,108870,0,,25902,25902,0,,85349,85349,0,,490463,490495,0,,35013,35018,0,,776282,776319,0,149054784,149056896,97735,0,0,0,
912807,912807,0,,3235130,3235130,0,,767009,767009,0,,2529497,2529503,0,,14725611,14725579,0,,1039536,1039531,0,,23209590,23209559,0,4456235136,4456247616,3043340,0,0,0,
912627,912627,0,,3235388,3235420,0,,767083,767083,0,,2529889,2529883,0,,14729837,14729837,0,,1039467,1039471,0,,23214291,23214321,0,4457149824,4457154816,3040947,0,0,0,
912801,912801,0,,3235444,3235412,0,,767137,767137,0,,2529762,2529764,0,,14731087,14731119,0,,1039628,1039624,0,,23215859,23215857,0,4457446272,4457435328,3038618,0,0,0,
912603,912603,0,,3235095,3235095,0,,766972,766972,0,,2529447,2529445,0,,14713329,14713329,0,,1039343,1039344,0,,23196789,23196788,0,4453781184,4453785792,3056647,0,0,0,
912794,912794,0,,3235346,3235378,0,,767185,767185,0,,2530040,2530045,0,,14719852,14719850,0,,1039703,1039702,0,,23204920,23204954,0,4455351168,4455351936,3050087,0,0,0,
912714,912714,0,,3235514,3235514,0,,767045,767045,0,,2529656,2529651,0,,14732592,14732594,0,,1039422,1039422,0,,23216943,23216940,0,4457651904,4457655552,3038374,0,0,0,
912809,912809,0,,3235604,3235604,0,,767196,767196,0,,2530079,2530079,0,,14718420,14718388,0,,1039711,1039715,0,,23203819,23203791,0,4455128256,4455131328,3051680,0,0,0,
912715,912715,0,,3235345,3235313,0,,767077,767077,0,,2529716,2529719,0,,14722196,14722228,0,,1039436,1039432,0,,23206485,23206484,0,4455643968,4455641472,3048652,0,0,0,
912856,912856,0,,3235637,3235637,0,,767188,767188,0,,2530040,2530058,0,,14723732,14723732,0,,1039708,1039715,0,,23209161,23209186,0,4456165440,4456148736,3046566,0,0,0,
912674,912674,0,,3235309,3235310,0,,767065,767065,0,,2529767,2529746,0,,14739128,14739096,0,,1039449,1039442,0,,23223392,23223333,0,4458878400,4458883392,3031560,0,0,0,
912823,912823,0,,3235537,3235536,0,,767156,767156,0,,2529904,2529904,0,,14740100,14740132,0,,1039659,1039659,0,,23225179,23225210,0,4459245696,4459245888,3029832,0,0,0,
912646,912646,0,,3235213,3235241,0,,767036,767042,0,,2529635,2529635,0,,14727595,14727595,0,,1039414,1039415,0,,23211539,23211574,0,4456618560,4456625472,3042939,0,0,0,
912821,912821,0,,3235629,3235601,0,,767172,767166,0,,2529977,2529985,0,,14738459,14738459,0,,1039688,1039689,0,,23223746,23223721,0,4458953088,4458939840,3031580,0,0,0,
912693,912693,0,,3235274,3235287,0,,767070,767070,0,,2529755,2529775,0,,14731363,14731363,0,,1039443,1039441,0,,23215598,23215629,0,4457401536,4457406912,3039422,0,0,0,
912662,912662,0,,3234992,3234979,0,,767072,767072,0,,2529686,2529658,0,,14728287,14728255,0,,1039549,1039549,0,,23212248,23212175,0,4456736256,4456739136,3040292,0,0,0,
912723,912723,0,,3235386,3235387,0,,767017,767017,0,,2529584,2529584,0,,14723776,14723806,0,,1039397,1039397,0,,23207883,23207914,0,4455919680,4455919680,3045768,0,0,0,
912726,912726,0,,3235339,3235356,0,,767172,767172,0,,2529995,2529995,0,,14724200,14724202,0,,1039627,1039627,0,,23209059,23209078,0,4456142784,4456140672,3045877,0,0,0,
912774,912774,0,,3235522,3235529,0,,767052,767052,0,,2529674,2529674,0,,14729485,14729485,0,,1039484,1039485,0,,23213991,23213999,0,4457088000,4457087424,3041302,0,0,0,
912741,912741,0,,3235343,3235318,0,,767169,767169,0,,2529991,2529991,0,,14731822,14731790,0,,1039624,1039623,0,,23216690,23216632,0,4457593920,4457596992,3038117,0,0,0,
912746,912746,0,,3235477,3235478,0,,767044,767044,0,,2529664,2529664,0,,14720705,14720737,0,,1039473,1039476,0,,23205109,23205145,0,4455387456,4455384576,3049616,0,0,0,
912743,912743,0,,3235370,3235369,0,,767177,767177,0,,2530001,2530001,0,,14739236,14739235,0,,1039635,1039632,0,,23224162,23224157,0,4459039488,4459034304,3031144,0,0,0,
912747,912747,0,,3235440,3235440,0,,767035,767035,0,,2529630,2529630,0,,14708947,14708948,0,,1039456,1039456,0,,23193255,23193256,0,4453098624,4453105728,3060968,0,0,0,
912734,912734,0,,3235371,3235371,0,,767169,767169,0,,2530024,2530024,0,,14727581,14727581,0,,1039647,1039647,0,,23212526,23212526,0,4456810176,4456811520,3042701,0,0,0,
573437,573437,0,,2032788,2032788,0,,481918,481918,0,,1589357,1589357,0,,9258788,9258756,0,,653055,653055,0,,14589343,14589311,0,2801147328,2801137920,1912953,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
530676,530676,0,,1880994,1880996,0,,445988,445988,0,,1470800,1470800,0,,9220068,9220100,0,,604381,604381,0,,14152907,14152941,0,2717364672,2717372352,1102576,0,0,0,
