Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
445809,445809,0,,385268,385266,0,,447542,447542,0,,425858,425860,0,,437840,437840,0,,2142317,2142317,0,411319104,411319296,1593182,0,0,0,
445168,445168,0,,385744,385746,0,,448247,448244,0,,426849,426849,0,,438383,438381,0,,2144391,2144388,0,411723072,411723840,1591030,0,0,0,
445346,445346,0,,384893,384893,0,,447228,447231,0,,425578,425575,0,,438017,438019,0,,2141062,2141064,0,411083904,411082944,1594246,0,0,0,
445161,445161,0,,385547,385547,0,,446959,446957,0,,425783,425786,0,,438018,438018,0,,2141468,2141469,0,411161856,411161856,1593790,0,0,0,
445312,445312,0,,385568,385565,0,,446809,446811,0,,425208,425208,0,,437924,437924,0,,2140821,2140820,0,411037632,411035520,1594623,0,0,0,
445470,445470,0,,385321,385324,0,,448012,448012,0,,426517,426517,0,,438772,438772,0,,2144092,2144095,0,411665664,411670464,1591475,0,0,0,
445271,445271,0,,385131,385129,0,,446849,446848,0,,425154,425153,0,,438205,438202,0,,2140610,2140603,0,410997120,410991936,1594902,0,0,0,
445891,445891,0,,385280,385282,0,,446659,446658,0,,425243,425244,0,,437990,437993,0,,2141063,2141068,0,411084096,411086400,1594343,0,0,0,
446837,446837,0,,385322,385320,0,,447535,447537,0,,425920,425920,0,,437531,437531,0,,2143145,2143145,0,411483840,411484032,1592298,0,0,0,
445075,445075,0,,385878,385880,0,,447078,447076,0,,425917,425915,0,,439150,439150,0,,2143098,2143096,0,411480576,411475008,1592335,0,0,0,
445504,445504,0,,385194,385194,0,,446946,446945,0,,425186,425187,0,,438638,438636,0,,2141468,2141466,0,411156096,411159552,1593869,0,0,0,
445920,445920,0,,384761,384758,0,,447944,447947,0,,425175,425174,0,,437242,437244,0,,2141042,2141043,0,411079958,411079958,1594436,0,0,0,
446255,446255,0,,385421,385424,0,,447822,447821,0,,425853,425852,0,,438131,438130,0,,2143482,2143482,0,411554688,411547008,1592201,0,0,0,
445610,445610,0,,385505,385504,0,,447917,447918,0,,425876,425878,0,,438665,438666,0,,2143573,2143576,0,411559766,411567830,1591796,0,0,0,
444600,444600,0,,384637,384638,0,,447077,447075,0,,425310,425311,0,,438278,438276,0,,2139902,2139900,0,410861184,410860608,1595603,0,0,0,
444984,444984,0,,385690,385689,0,,447669,447668,0,,426081,426081,0,,437983,437984,0,,2142407,2142406,0,411342038,411341462,1592998,0,0,0,
445728,445728,0,,385152,385152,0,,447186,447186,0,,425147,425146,0,,438079,438079,0,,2141292,2141291,0,411128064,411129024,1594099,0,0,0,
445668,445668,0,,385392,385391,0,,447500,447501,0,,426365,426363,0,,438228,438227,0,,2143153,2143150,0,411485376,411484608,1592319,0,0,0,
446101,446101,0,,384498,384499,0,,447189,447191,0,,426178,426181,0,,437822,437822,0,,2141788,2141794,0,411223296,411223296,1593633,0,0,0,
445709,445709,0,,385323,385322,0,,447635,447634,0,,425846,425845,0,,438655,438654,0,,2143168,2143164,0,411488150,411486806,1592324,0,0,0,
445383,445383,0,,384820,384822,0,,447484,447484,0,,426259,426228,0,,437698,437701,0,,2141644,2141618,0,411195648,411201984,1593894,0,0,0,
445990,445990,0,,385671,385671,0,,448004,448004,0,,425549,425581,0,,438596,438596,0,,2143810,2143842,0,411611520,411606336,1591606,0,0,0,
438157,438157,0,,380266,380234,0,,440659,440628,0,,418700,418668,0,,431092,431060,0,,2108874,2108747,0,404903808,404879424,1536144,0,0,0,
1,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,0,86,86,0,0,0,0,
109475,109475,0,,109453,109475,0,,109449,109449,0,,109425,109448,0,,109425,109448,0,,547227,547295,0,105067584,105080640,0,0,0,0,
374797,374797,0,,374794,374793,0,,374683,374707,0,,374707,374707,0,,374730,374707,0,,1873711,1873711,0,359756822,359752406,0,0,0,0,
374780,374780,0,,374804,374783,0,,374714,374690,0,,374714,374691,0,,374691,374691,0,,1873703,1873635,0,359746560,359737920,0,0,0,0,
374797,374797,0,,374772,374796,0,,374683,374707,0,,374683,374707,0,,374684,374706,0,,1873619,1873713,0,359734742,359752790,0,0,0,0,
374781,374781,0,,374804,374780,0,,374714,374690,0,,374692,374690,0,,374713,374691,0,,1873704,1873632,0,359755392,359737344,0,0,0,0,
374780,374780,0,,374757,374781,0,,374681,374691,0,,374689,374690,0,,374681,374690,0,,1873588,1873632,0,359726400,359737344,0,0,0,0,
374796,374796,0,,374820,374796,0,,374716,374706,0,,374730,374707,0,,374716,374707,0,,1873778,1873712,0,359763648,359752704,0,0,0,0,
374780,374780,0,,374780,374780,0,,374691,374691,0,,374691,374691,0,,374690,374690,0,,1873632,1873632,0,359737344,359737344,0,0,0,0,
374796,374796,0,,374796,374796,0,,374707,374707,0,,374706,374706,0,,374707,374707,0,,1873712,1873712,0,359752704,359752704,0,0,0,0,
374778,374778,0,,374756,374778,0,,374666,374690,0,,374667,374688,0,,374667,374688,0,,1873534,1873622,0,359726784,359736384,0,0,0,0,
374783,374783,0,,374781,374783,0,,374692,374690,0,,374692,374693,0,,374713,374693,0,,1873661,1873642,0,359734848,359738304,0,0,0,0,
374791,374791,0,,374796,374795,0,,374729,374707,0,,374705,374707,0,,374684,374707,0,,1873705,1873707,0,359751168,359751744,0,0,0,0,
374785,374785,0,,374804,374781,0,,374691,374691,0,,374714,374690,0,,374714,374690,0,,1873708,1873637,0,359751936,359738304,0,0,0,0,
374791,374791,0,,374772,374796,0,,374682,374702,0,,374685,374707,0,,374683,374703,0,,1873613,1873699,0,359737536,359750976,0,0,0,0,
