Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
288992,288992,0,,274790,274792,0,,269914,269916,0,,261955,261957,0,,234364,234363,0,,279580,279581,0,,280416,280414,0,,1890011,1890015,0,362882112,362883648,5580931,0,0,0,
280502,280502,0,,267976,267944,0,,264087,264055,0,,256114,256082,0,,230270,230239,0,,273213,273181,0,,273725,273696,0,,1845887,1845699,0,354410304,354373440,5287831,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
91738,91738,0,,86990,87021,0,,85580,85612,0,,83212,83243,0,,74411,74440,0,,89040,89069,0,,89190,89222,0,,600161,600345,0,115230912,115266240,530480,0,0,0,
287155,287155,0,,274140,274140,0,,269438,269437,0,,261572,261573,0,,234304,234306,0,,279457,279460,0,,279495,279495,0,,1885561,1885566,0,362033856,362035200,1850071,0,0,0,
287935,287935,0,,274295,274295,0,,269059,269060,0,,261539,261539,0,,234437,234437,0,,279906,279905,0,,279653,279653,0,,1886824,1886824,0,362270208,362263872,1848640,0,0,0,
288610,288610,0,,274785,274785,0,,269921,269921,0,,261784,261783,0,,234815,234813,0,,280184,280185,0,,279927,279926,0,,1890026,1890023,0,362878848,362884800,1845395,0,0,0,
288578,288578,0,,274609,274610,0,,269973,269973,0,,262151,262152,0,,234147,234150,0,,279612,279610,0,,280161,280162,0,,1889231,1889235,0,362732246,362734550,1846293,0,0,0,
287708,287708,0,,274211,274208,0,,269628,269627,0,,261069,261068,0,,234394,234392,0,,280149,280149,0,,280001,280001,0,,1887160,1887153,0,362334720,362332992,1848265,0,0,0,
287865,287865,0,,275310,275310,0,,270325,270324,0,,261820,261821,0,,234035,234036,0,,279716,279718,0,,280015,280015,0,,1889086,1889089,0,362704406,362703830,1846538,0,0,0,
288371,288371,0,,274348,274348,0,,269226,269227,0,,262007,262007,0,,233907,233906,0,,279391,279388,0,,280301,280301,0,,1887551,1887548,0,362409792,362409792,1847973,0,0,0,
288226,288226,0,,273852,273852,0,,268929,268930,0,,261451,261451,0,,233906,233905,0,,278671,278671,0,,280130,280128,0,,1885165,1885163,0,361951680,361951488,1850461,0,0,0,
288317,288317,0,,274111,274114,0,,269596,269594,0,,261794,261791,0,,234454,234425,0,,279742,279744,0,,279332,279334,0,,1887346,1887319,0,362370432,362371776,1848330,0,0,0,
288247,288247,0,,273659,273659,0,,268449,268451,0,,261502,261505,0,,233849,233880,0,,278957,278958,0,,279139,279139,0,,1883802,1883839,0,361689984,361694400,1851837,0,0,0,
288432,288432,0,,273414,273413,0,,269096,269094,0,,261333,261331,0,,234170,234170,0,,279696,279694,0,,279742,279740,0,,1885883,1885874,0,362089536,362082624,1849852,0,0,0,
288156,288156,0,,274046,274047,0,,269201,269202,0,,261820,261819,0,,234165,234166,0,,279660,279661,0,,280314,280316,0,,1887362,1887367,0,362373504,362376768,1848087,0,0,0,
288264,288264,0,,274722,274720,0,,269362,269361,0,,261783,261786,0,,233803,233800,0,,279745,279745,0,,280030,280030,0,,1887709,1887706,0,362440128,362437440,1847843,0,0,0,
287703,287703,0,,274213,274214,0,,269477,269479,0,,261802,261802,0,,234184,234185,0,,278718,278716,0,,280072,280072,0,,1886169,1886171,0,362150102,362153558,1849549,0,0,0,
288939,288939,0,,274384,274385,0,,269337,269335,0,,262320,262320,0,,234377,234379,0,,279903,279906,0,,279672,279672,0,,1888932,1888936,0,362669184,362669952,1846519,0,0,0,
288696,288696,0,,275707,275704,0,,269517,269517,0,,261955,261954,0,,234436,234436,0,,280094,280092,0,,280754,280754,0,,1891159,1891153,0,363102528,363098112,1844466,0,0,0,
288456,288456,0,,274685,274687,0,,269901,269903,0,,261584,261585,0,,234386,234385,0,,279823,279825,0,,280586,280586,0,,1889421,1889427,0,362768832,362771136,1846379,0,0,0,
287602,287602,0,,273913,273914,0,,269086,269083,0,,261015,261015,0,,234040,234041,0,,279016,279015,0,,279814,279811,0,,1884486,1884481,0,361821312,361820928,1850979,0,0,0,
288401,288401,0,,274473,274471,0,,269178,269179,0,,261579,261579,0,,233574,233574,0,,279182,279183,0,,280098,280101,0,,1886485,1886488,0,362205120,362207616,1848909,0,0,0,
288632,288632,0,,274313,274315,0,,270186,270187,0,,261514,261511,0,,234513,234513,0,,279465,279465,0,,279820,279820,0,,1888443,1888443,0,362580950,362577686,1847230,0,0,0,
288202,288202,0,,274611,274611,0,,269996,269994,0,,261973,261976,0,,234768,234768,0,,279742,279742,0,,279570,279570,0,,1888862,1888863,0,362661504,362662848,1846678,0,0,0,
288085,288085,0,,275252,275252,0,,269119,269122,0,,261563,261563,0,,234299,234299,0,,279327,279325,0,,279431,279431,0,,1887076,1887077,0,362318486,362318102,1848331,0,0,0,
288056,288056,0,,274767,274766,0,,270041,270041,0,,261246,261245,0,,234870,234870,0,,279394,279393,0,,279680,279680,0,,1888054,1888051,0,362506368,362505408,1847366,0,0,0,
107939,107939,0,,103359,103328,0,,101430,101398,0,,98848,98817,0,,89239,89207,0,,105123,105094,0,,105011,104979,0,,710949,710762,0,136502208,136465728,637324,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
244625,244625,0,,244625,244625,0,,244625,244625,0,,244543,244544,0,,244526,244543,0,,244526,244543,0,,244543,244543,0,,1712013,1712048,0,328706582,328713110,0,0,0,0,
267710,267710,0,,267696,267713,0,,267697,267713,0,,267607,267623,0,,267623,267624,0,,267623,267619,0,,267619,267623,0,,1873575,1873625,0,359728704,359736768,0,0,0,0,
267718,267718,0,,267730,267713,0,,267729,267713,0,,267640,267623,0,,267624,267623,0,,267641,267628,0,,267627,267623,0,,1873709,1873641,0,359752790,359738198,0,0,0,0,
267724,267724,0,,267724,267724,0,,267724,267724,0,,267635,267635,0,,267652,267635,0,,267635,267636,0,,267635,267637,0,,1873729,1873715,0,359753472,359758848,0,0,0,0,
267714,267714,0,,267713,267713,0,,267713,267713,0,,267623,267623,0,,267623,267623,0,,267623,267622,0,,267624,267622,0,,1873633,1873630,0,359737238,359732822,0,0,0,0,
267722,267722,0,,267721,267724,0,,267707,267724,0,,267635,267635,0,,267632,267635,0,,267619,267635,0,,267635,267635,0,,1873671,1873710,0,359747904,359750784,0,0,0,0,
267717,267717,0,,267699,267712,0,,267730,267713,0,,267607,267623,0,,267609,267623,0,,267622,267622,0,,267606,267622,0,,1873590,1873632,0,359725526,359737238,0,0,0,0,
267713,267713,0,,267727,267715,0,,267696,267710,0,,267635,267623,0,,267623,267623,0,,267625,267624,0,,267636,267624,0,,1873655,1873632,0,359747328,359737920,0,0,0,0,
267725,267725,0,,267710,267724,0,,267741,267727,0,,267639,267635,0,,267635,267635,0,,267633,267634,0,,267623,267635,0,,1873706,1873715,0,359752406,359752790,0,0,0,0,
267709,267709,0,,267731,267713,0,,267714,267714,0,,267623,267623,0,,267640,267623,0,,267640,267624,0,,267639,267623,0,,1873696,1873629,0,359743104,359736576,0,0,0,0,
267725,267725,0,,267707,267724,0,,267707,267722,0,,267633,267635,0,,267618,267633,0,,267619,267635,0,,267618,267635,0,,1873627,1873709,0,359739456,359752128,0,0,0,0,
267714,267714,0,,267713,267713,0,,267713,267715,0,,267620,267624,0,,267635,267625,0,,267634,267623,0,,267623,267621,0,,1873652,1873635,0,359740992,359738304,0,0,0,0,
267715,267715,0,,267714,267713,0,,267729,267713,0,,267629,267623,0,,267610,267624,0,,267628,267623,0,,267622,267624,0,,1873647,1873635,0,359747414,359737622,0,0,0,0,
267725,267725,0,,267735,267724,0,,267708,267724,0,,267635,267637,0,,267654,267636,0,,267635,267637,0,,267653,267637,0,,1873745,1873720,0,359748864,359754048,0,0,0,0,
267714,267714,0,,267718,267713,0,,267727,267713,0,,267606,267618,0,,267607,267622,0,,267607,267622,0,,267623,267622,0,,1873602,1873624,0,359741078,359736278,0,0,0,0,
267724,267724,0,,267724,267724,0,,267727,267724,0,,267652,267638,0,,267634,267635,0,,267635,267635,0,,267631,267635,0,,1873727,1873715,0,359750016,359753856,0,0,0,0,
267712,267712,0,,267696,267711,0,,267697,267713,0,,267606,267620,0,,267624,267623,0,,267623,267623,0,,267610,267621,0,,1873568,1873623,0,359723798,359734742,0,0,0,0,
267716,267716,0,,267730,267715,0,,267729,267713,0,,267640,267626,0,,267639,267623,0,,267640,267623,0,,267641,267627,0,,1873735,1873643,0,359754816,359747136,0,0,0,0,
267725,267725,0,,267706,267724,0,,267724,267724,0,,267635,267635,0,,267635,267635,0,,267635,267635,0,,267618,267634,0,,1873678,1873712,0,359745686,359745302,0,0,0,0,
267713,267713,0,,267732,267714,0,,267696,267713,0,,267607,267623,0,,267606,267623,0,,267623,267623,0,,267640,267623,0,,1873617,1873632,0,359740608,359736576,0,0,0,0,
267725,267725,0,,267724,267725,0,,267741,267726,0,,267652,267637,0,,267653,267637,0,,267637,267652,0,,267636,267651,0,,1873768,1873753,0,359757782,359769878,0,0,0,0,
267713,267713,0,,267713,267712,0,,267714,267712,0,,267622,267621,0,,267622,267621,0,,267621,267606,0,,267622,267607,0,,1873627,1873592,0,359735616,359721600,0,0,0,0,
