Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
10752798,10752798,0,,10864290,10864322,0,,10955914,10955914,0,,32573002,32573034,0,7166053400,8338682112,298997,0,0,0,
10753801,10753801,0,,10866930,10866930,0,,10957606,10957606,0,,32578337,32578337,0,7167234140,8340055552,296286,0,0,0,
1484720,1484720,0,,1502002,1501970,0,,1513450,1513418,0,,4500172,4500108,0,990037840,1152015104,41818,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
6660671,6660671,0,,6694589,6694621,0,,6700671,6700703,0,,20055931,20055995,0,4412318900,5134346752,32640,0,0,0,
10758838,10758838,0,,10809534,10809532,0,,10809157,10809157,0,,32377529,32377527,0,7123049340,8288644608,50497,0,0,0,
10760258,10760258,0,,10809467,10809466,0,,10809414,10809414,0,,32379139,32379138,0,7123403540,8289055488,49282,0,0,0,
10758535,10758535,0,,10809572,10809575,0,,10809440,10809440,0,,32377547,32377550,0,7123067380,8288657152,50919,0,0,0,
10758776,10758776,0,,10809756,10809756,0,,10809398,10809398,0,,32377930,32377930,0,7123144600,8288756224,50734,0,0,0,
10760477,10760477,0,,10809654,10809654,0,,10809490,10809490,0,,32379621,32379621,0,7123523660,8289181440,49035,0,0,0,
10759233,10759233,0,,10809544,10809544,0,,10809509,10809509,0,,32378286,32378286,0,7123215880,8288837120,50257,0,0,0,
10748802,10748802,0,,10809418,10809418,0,,10809431,10809399,0,,32367651,32367619,0,7120883220,8286117632,60607,0,0,0,
10737527,10737527,0,,10804162,10804162,0,,10809221,10809221,0,,32350910,32350910,0,7117200200,8281847808,77426,0,0,0,
10753999,10753999,0,,10809371,10809371,0,,10809410,10809442,0,,32372780,32372812,0,7122018640,8287424256,55362,0,0,0,
10754017,10754017,0,,10809569,10809569,0,,10809352,10809352,0,,32372938,32372938,0,7122046360,8287469568,55432,0,0,0,
10749965,10749965,0,,10809474,10809474,0,,10809430,10809428,0,,32368869,32368867,0,7121137100,8286420480,59457,0,0,0,
10751760,10751760,0,,10809451,10809449,0,,10809378,10809380,0,,32370589,32370589,0,7121536620,8286880000,57940,0,0,0,
10752266,10752266,0,,10809742,10809744,0,,10809667,10809667,0,,32371675,32371677,0,7121775540,8287155968,57397,0,0,0,
10751587,10751587,0,,10809510,10809507,0,,10809416,10809416,0,,32370513,32370510,0,7121512200,8286845440,57768,0,0,0,
10760508,10760508,0,,10808948,10808951,0,,10809405,10809405,0,,32378861,32378864,0,7123343040,8288989952,48760,0,0,0,
10760398,10760398,0,,10809668,10809636,0,,10809411,10809411,0,,32379477,32379445,0,7123484940,8289132288,48967,0,0,0,
4454990,4454990,0,,4473446,4473446,0,,4468512,4468480,0,,13396948,13396916,0,2947321520,3429599488,20856,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
3947750,3947750,0,,3967006,3967038,0,,3971768,3971800,0,,11886524,11886588,0,2615042320,3042981120,16937,0,0,0,
10759126,10759126,0,,10809648,10809648,0,,10809316,10809316,0,,32378090,32378090,0,7123179800,8288790016,50630,0,0,0,
10759008,10759008,0,,10809616,10809613,0,,10809746,10809746,0,,32378370,32378367,0,7123241400,8288858880,50416,0,0,0,
10759285,10759285,0,,10809088,10809091,0,,10809415,10809383,0,,32377788,32377759,0,7123113360,8288715264,50016,0,0,0,
10758560,10758560,0,,10809443,10809443,0,,10809395,10809422,0,,32377398,32377425,0,7123033500,8288613888,50845,0,0,0,
10757694,10757694,0,,10809342,10809342,0,,10809389,10809362,0,,32376425,32376398,0,7122807560,8288372736,51701,0,0,0,
10753996,10753996,0,,10809401,10809401,0,,10809406,10809438,0,,32372803,32372835,0,7122023700,8287432448,55383,0,0,0,
10755286,10755286,0,,10809349,10809346,0,,10809391,10809391,0,,32374026,32374023,0,7122278020,8287747328,54086,0,0,0,
10757578,10757578,0,,10809291,10809294,0,,10809381,10809381,0,,32376250,32376253,0,7122775660,8288313856,51778,0,0,0,
10760073,10760073,0,,10809353,10809353,0,,10809361,10809361,0,,32378787,32378787,0,7123333140,8288978432,49292,0,0,0,
10755630,10755630,0,,10809086,10809086,0,,10809362,10809362,0,,32374078,32374078,0,7122304200,8287769088,53824,0,0,0,
10758366,10758366,0,,10809350,10809318,0,,10809437,10809437,0,,32377153,32377121,0,7122959580,8288543232,51105,0,0,0,
10758723,10758723,0,,10809269,10809301,0,,10809319,10809319,0,,32377311,32377343,0,7123008420,8288588288,50600,0,0,0,
10756861,10756861,0,,10808718,10808686,0,,10808725,10808725,0,,32374304,32374272,0,7122346880,8287820800,51879,0,0,0,
10757902,10757902,0,,10809250,10809282,0,,10809104,10809104,0,,32376256,32376288,0,7122783360,8288329728,51435,0,0,0,
10756542,10756542,0,,10809573,10809573,0,,10809535,10809535,0,,32375650,32375650,0,7122643000,8288172800,52895,0,0,0,
10759463,10759463,0,,10809322,10809290,0,,10809198,10809198,0,,32377983,32377951,0,7123156260,8288752128,49938,0,0,0,
7293945,7293945,0,,7324529,7324529,0,,7318688,7318656,0,,21937162,21937130,0,4826168600,5615887616,32086,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
961137,961137,0,,970380,970380,0,,975967,975967,0,,2907484,2907484,0,639646480,744340480,16651,0,0,0,
10756008,10756008,0,,10866552,10866584,0,,10956202,10956234,0,,32578762,32578826,0,7167334680,8340160512,292938,0,0,0,
10753738,10753738,0,,10865418,10865415,0,,10957362,10957362,0,,32576518,32576515,0,7166833960,8339595008,296520,0,0,0,
10750987,10750987,0,,10862973,10862976,0,,10956564,10956564,0,,32570524,32570527,0,7165515280,8338047744,302095,0,0,0,
10748056,10748056,0,,10864716,10864714,0,,10957689,10957657,0,,32570461,32570427,0,7165500980,8338040320,303401,0,0,0,
10752539,10752539,0,,10862656,10862658,0,,10956092,10956121,0,,32571287,32571318,0,7165689960,8338259456,300823,0,0,0,
10747796,10747796,0,,10863386,10863386,0,,10957973,10957976,0,,32569155,32569158,0,7165200680,8337691136,305342,0,0,0,
10741644,10741644,0,,10863047,10863047,0,,10955353,10955353,0,,32560044,32560044,0,7163209680,8335372288,311577,0,0,0,
10745524,10745524,0,,10864770,10864770,0,,10958451,10958451,0,,32568745,32568745,0,7165137980,8337604608,306659,0,0,0,
10742067,10742067,0,,10865221,10865221,0,,10955671,10955671,0,,32562959,32562959,0,7163850980,8336119552,308081,0,0,0,
10745849,10745849,0,,10867820,10867820,0,,10958472,10958472,0,,32572141,32572141,0,7165863980,8338461184,302595,0,0,0,
10756645,10756645,0,,10865661,10865661,0,,10955831,10955831,0,,32578137,32578137,0,7167183100,8340005888,293300,0,0,0,
10752990,10752990,0,,10865621,10865621,0,,10957145,10957145,0,,32575756,32575756,0,7166666320,8339392256,297944,0,0,0,
10752886,10752886,0,,10866221,10866221,0,,10956674,10956674,0,,32575781,32575781,0,7166685900,8339408896,296742,0,0,0,
10755346,10755346,0,,10867973,10867973,0,,10957566,10957534,0,,32580885,32580853,0,7167780620,8340696320,292801,0,0,0,
10753822,10753822,0,,10864481,10864481,0,,10956720,10956752,0,,32575023,32575055,0,7166512100,8339217920,297647,0,0,0,
10751481,10751481,0,,10864925,10864893,0,,10958007,10958005,0,,32574413,32574379,0,7166370420,8339035904,299135,0,0,0,
10175606,10175606,0,,10282118,10282118,0,,10368627,10368597,0,,30826351,30826321,0,6781790620,7891523584,282001,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
9137016,9137016,0,,9234100,9234132,0,,9308032,9308064,0,,27679148,27679212,0,6089412560,7085884928,255918,0,0,0,
10742704,10742704,0,,10864789,10864789,0,,10957633,10957633,0,,32565126,32565126,0,7164334760,8336680960,309164,0,0,0,
10749941,10749941,0,,10864353,10864321,0,,10956527,10956527,0,,32570821,32570789,0,7165573580,8338129664,301144,0,0,0,
10743531,10743531,0,,10864970,10865002,0,,10957853,10957853,0,,32566354,32566386,0,7164604920,8336975872,308100,0,0,0,
10744066,10744066,0,,10862778,10862778,0,,10954968,10954966,0,,32561812,32561810,0,7163598200,8335823104,309786,0,0,0,
10743180,10743180,0,,10865224,10865224,0,,10957997,10957999,0,,32566401,32566403,0,7164608660,8337001216,308985,0,0,0,
10745448,10745448,0,,10862203,10862203,0,,10956409,10956408,0,,32564060,32564059,0,7164092980,8336406528,307029,0,0,0,
10755171,10755171,0,,10868990,10868990,0,,10958606,10958607,0,,32582767,32582768,0,7168216000,8341191168,291788,0,0,0,
10746085,10746085,0,,10865611,10865611,0,,10956340,10956340,0,,32568036,32568036,0,7164960880,8337407744,304050,0,0,0,
10749905,10749905,0,,10865529,10865529,0,,10958270,10958270,0,,32573704,32573704,0,7166214880,8338876672,299874,0,0,0,
10744445,10744445,0,,10864709,10864709,0,,10956810,10956810,0,,32565964,32565964,0,7164519120,8336888576,306399,0,0,0,
10755464,10755464,0,,10868426,10868423,0,,10958195,10958194,0,,32582085,32582081,0,7168051440,8340998144,291914,0,0,0,
10748663,10748663,0,,10865932,10865935,0,,10957022,10957023,0,,32571617,32571621,0,7165755960,8338339584,300975,0,0,0,
10743958,10743958,0,,10866226,10866226,0,,10957565,10957565,0,,32567749,32567749,0,7164904780,8337344768,305106,0,0,0,
10747051,10747051,0,,10864784,10864784,0,,10957740,10957740,0,,32569575,32569575,0,7165299460,8337815040,303914,0,0,0,
10742601,10742601,0,,10866517,10866485,0,,10957728,10957728,0,,32566846,32566814,0,7164706120,8337106688,306048,0,0,0,
10745463,10745463,0,,10864614,10864646,0,,10957578,10957576,0,,32567655,32567685,0,7164891140,8337327104,305932,0,0,0,
2343917,2343917,0,,2371794,2371762,0,,2390586,2390556,0,,7106297,7106235,0,1563378300,1819182592,66265,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5659755,5659755,0,,5714185,5714217,0,,5761585,5761617,0,,17135525,17135589,0,3769815500,4386714368,165423,0,0,0,
10749328,10749328,0,,10863219,10863219,0,,10956941,10956909,0,,32569488,32569456,0,7165294400,8337789440,302372,0,0,0,
10746627,10746627,0,,10866632,10866632,0,,10958407,10958439,0,,32571666,32571698,0,7165773560,8338350080,302805,0,0,0,
10754879,10754879,0,,10863605,10863605,0,,10956456,10956456,0,,32574940,32574940,0,7166479760,8339188736,296447,0,0,0,
10756423,10756423,0,,10865414,10865411,0,,10958290,10958289,0,,32580127,32580123,0,7167634100,8340521472,295055,0,0,0,
10755338,10755338,0,,10862602,10862573,0,,10956619,10956620,0,,32574559,32574531,0,7166396820,8339077120,296793,0,0,0,
10753329,10753329,0,,10866063,10866095,0,,10958710,10958710,0,,32578102,32578134,0,7167175400,8339989248,296454,0,0,0,
10752422,10752422,0,,10864596,10864596,0,,10956063,10956063,0,,32573081,32573081,0,7166084860,8338704896,298329,0,0,0,
10756852,10756852,0,,10864985,10864985,0,,10957472,10957472,0,,32579309,32579309,0,7167455020,8340318976,294988,0,0,0,
10754197,10754197,0,,10864876,10864876,0,,10955762,10955730,0,,32574835,32574803,0,7166456660,8339149824,297053,0,0,0,
10748999,10748999,0,,10866731,10866731,0,,10957957,10957986,0,,32573687,32573716,0,7166204100,8338855936,300020,0,0,0,
10743919,10743919,0,,10862395,10862393,0,,10957572,10957575,0,,32563886,32563887,0,7164061520,8336368384,309300,0,0,0,
10754913,10754913,0,,10864642,10864644,0,,10957541,10957541,0,,32577096,32577098,0,7166961560,8339732480,296098,0,0,0,
10746372,10746372,0,,10864572,10864571,0,,10957327,10957325,0,,32568271,32568268,0,7165012580,8337466368,304841,0,0,0,
10748686,10748686,0,,10865226,10865227,0,,10957269,10957271,0,,32571181,32571184,0,7165659820,8338228736,301369,0,0,0,
10752256,10752256,0,,10864582,10864582,0,,10956205,10956205,0,,32573043,32573043,0,7166076500,8338705408,301756,0,0,0,
10749269,10749269,0,,10862723,10862723,0,,10956757,10956725,0,,32568749,32568717,0,7165117740,8337587456,303190,0,0,0,
5386756,5386756,0,,5440487,5440455,0,,5485652,5485652,0,,16312895,16312863,0,3588836900,4176083712,146585,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
