Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
9330467,9330467,0,,9328681,9328701,0,,9330461,9330460,0,,9330477,9330447,0,,37320086,37320075,0,5747296940,7165460928,0,0,0,0,
9329801,9329801,0,,9328018,9328012,0,,9329815,9329790,0,,9329796,9329821,0,,37317430,37317424,0,5746881756,7164941184,0,0,0,0,
9330246,9330246,0,,9328464,9328449,0,,9330241,9330241,0,,9330247,9330222,0,,37319198,37319158,0,5747155106,7165284480,0,0,0,0,
9330374,9330374,0,,9328585,9328607,0,,9330380,9330380,0,,9330369,9330397,0,,37319708,37319758,0,5747235186,7165383936,0,0,0,0,
9329997,9329997,0,,9328212,9328217,0,,9329978,9330004,0,,9329993,9329997,0,,37318180,37318215,0,5746999720,7165099200,0,0,0,0,
9330158,9330158,0,,9328379,9328373,0,,9330153,9330160,0,,9330142,9330142,0,,37318832,37318833,0,5747109984,7165213440,0,0,0,0,
1763113,1763113,0,,1762770,1762745,0,,1763122,1763089,0,,1763130,1763098,0,,7052135,7052045,0,1086014930,1353989184,0,0,0,0,
678569,678569,0,,678442,678467,0,,678576,678606,0,,678556,678583,0,,2714143,2714225,0,417981872,521131200,0,0,0,0,
10294016,10294016,0,,10292056,10292066,0,,10294017,10294006,0,,10294037,10294042,0,,41174126,41174130,0,6340814480,7905438720,0,0,0,0,
10293981,10293981,0,,10292000,10291995,0,,10293983,10293987,0,,10293968,10293968,0,,41173932,41173931,0,6340795692,7905402432,0,0,0,0,
10294264,10294264,0,,10292311,10292281,0,,10294270,10294263,0,,10294259,10294256,0,,41175104,41175064,0,6340959856,7905614976,0,0,0,0,
10294751,10294751,0,,10292775,10292775,0,,10294740,10294755,0,,10294758,10294758,0,,41177024,41177039,0,6341254766,7905980928,0,0,0,0,
10294427,10294427,0,,10292495,10292524,0,,10294463,10294463,0,,10294413,10294416,0,,41175798,41175830,0,6341077820,7905754368,0,0,0,0,
10294343,10294343,0,,10292388,10292359,0,,10294366,10294335,0,,10294361,10294361,0,,41175458,41175398,0,6341015604,7905690432,0,0,0,0,
10294607,10294607,0,,10292643,10292643,0,,10294589,10294618,0,,10294579,10294579,0,,41176418,41176447,0,6341177766,7905879360,0,0,0,0,
