Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
4998762,4998762,0,,4999613,4999613,0,,9998375,9998375,0,1669728625,1919690880,851,0,0,0,
4999019,4999019,0,,4999669,4999669,0,,9998688,9998688,0,1669780896,1919746752,653,0,0,0,
4998800,4998800,0,,4999636,4999636,0,,9998436,9998436,0,1669738812,1919698368,833,0,0,0,
4999028,4999028,0,,4999638,4999670,0,,9998666,9998698,0,1669777222,1919751168,632,0,0,0,
4998809,4998809,0,,4999667,4999635,0,,9998476,9998444,0,1669745492,1919699904,836,0,0,0,
4998899,4998899,0,,4999613,4999644,0,,9998512,9998543,0,1669751504,1919720256,721,0,0,0,
4998768,4998768,0,,4999652,4999646,0,,9998420,9998414,0,1669736140,1919695488,862,0,0,0,
4998832,4998832,0,,4999653,4999628,0,,9998485,9998460,0,1669746995,1919704320,836,0,0,0,
4998865,4998865,0,,4999643,4999673,0,,9998508,9998538,0,1669755846,1919720064,779,0,0,0,
4998807,4998807,0,,4999647,4999617,0,,9998454,9998424,0,1669736808,1919696640,839,0,0,0,
4998804,4998804,0,,4999657,4999689,0,,9998461,9998493,0,1669742987,1919710656,858,0,0,0,
4998807,4998807,0,,4999648,4999616,0,,9998455,9998423,0,1669741985,1919697216,836,0,0,0,
2186281,2186281,0,,2187125,2187125,0,,4373406,4373406,0,730358802,839693952,844,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
3787924,3787924,0,,3788175,3788207,0,,7576099,7576131,0,1265208533,1454617152,368,0,0,0,
7529542,7529542,0,,7531455,7531423,0,,15060997,15060965,0,2515186499,2891705280,1952,0,0,0,
7529663,7529663,0,,7530721,7530721,0,,15060384,15060384,0,2515084128,2891593728,2470,0,0,0,
7529721,7529721,0,,7530467,7530467,0,,15060188,15060188,0,2515051396,2891556672,2666,0,0,0,
7529582,7529582,0,,7530891,7530920,0,,15060473,15060502,0,2515098991,2891615808,2169,0,0,0,
7529224,7529224,0,,7531665,7531636,0,,15060889,15060860,0,2515168463,2891691264,2233,0,0,0,
7529587,7529587,0,,7531253,7531285,0,,15060840,15060872,0,2515160280,2891681280,1966,0,0,0,
7529552,7529552,0,,7530381,7530349,0,,15059933,15059901,0,2515008811,2891500992,3041,0,0,0,
7529590,7529590,0,,7531203,7531231,0,,15060793,15060821,0,2515152431,2891677632,2055,0,0,0,
7529411,7529411,0,,7531036,7531037,0,,15060447,15060448,0,2515099492,2891606016,2419,0,0,0,
7529452,7529452,0,,7531276,7531247,0,,15060728,15060699,0,2515136733,2891654208,2212,0,0,0,
7529591,7529591,0,,7531252,7531284,0,,15060843,15060875,0,2515166125,2891688000,2095,0,0,0,
7529619,7529619,0,,7531440,7531408,0,,15061059,15061027,0,2515191509,2891719104,1824,0,0,0,
7529489,7529489,0,,7531193,7531193,0,,15060682,15060682,0,2515133894,2891649792,2095,0,0,0,
7529156,7529156,0,,7531318,7531350,0,,15060474,15060506,0,2515099158,2891616384,2264,0,0,0,
7529598,7529598,0,,7530826,7530817,0,,15060424,15060415,0,2515090808,2891599680,2514,0,0,0,
7529298,7529298,0,,7530485,7530486,0,,15059783,15059784,0,2514983761,2891478528,3108,0,0,0,
7529493,7529493,0,,7531410,7531417,0,,15060903,15060910,0,2515175978,2891696640,1984,0,0,0,
7529524,7529524,0,,7530930,7530930,0,,15060454,15060454,0,2515095818,2891605248,2060,0,0,0,
7529416,7529416,0,,7531560,7531560,0,,15060976,15060976,0,2515177815,2891707392,2159,0,0,0,
7529330,7529330,0,,7531441,7531441,0,,15060771,15060771,0,2515148757,2891668032,2089,0,0,0,
7529358,7529358,0,,7531273,7531274,0,,15060631,15060632,0,2515130721,2891641344,2154,0,0,0,
7529136,7529136,0,,7530951,7530949,0,,15060087,15060085,0,2515034195,2891541504,2790,0,0,0,
7529467,7529467,0,,7530901,7530871,0,,15060368,15060338,0,2515076446,2891579904,2645,0,0,0,
7529105,7529105,0,,7530546,7530572,0,,15059651,15059677,0,2514966059,2891457792,3066,0,0,0,
7529658,7529658,0,,7531174,7531180,0,,15060832,15060838,0,2515159946,2891680896,2217,0,0,0,
7529493,7529493,0,,7531412,7531406,0,,15060905,15060899,0,2515165791,2891692608,1961,0,0,0,
7529353,7529353,0,,7531083,7531057,0,,15060436,15060410,0,2515092812,2891604480,2097,0,0,0,
7529466,7529466,0,,7531038,7531069,0,,15060504,15060535,0,2515109345,2891623104,2375,0,0,0,
7529585,7529585,0,,7530797,7530798,0,,15060382,15060383,0,2515083961,2891587392,2750,0,0,0,
7529522,7529522,0,,7531057,7531055,0,,15060579,15060577,0,2515116359,2891630784,2449,0,0,0,
7529676,7529676,0,,7531402,7531401,0,,15061078,15061077,0,2515199859,2891732544,1805,0,0,0,
7529207,7529207,0,,7530729,7530729,0,,15059936,15059936,0,2515004469,2891501952,2879,0,0,0,
7529789,7529789,0,,7530884,7530884,0,,15060673,15060673,0,2515132391,2891649216,2292,0,0,0,
7530023,7530023,0,,7531243,7531241,0,,15061266,15061264,0,2515231422,2891762688,1662,0,0,0,
7530375,7530375,0,,7530221,7530216,0,,15060596,15060591,0,2515123206,2891633472,2347,0,0,0,
7529856,7529856,0,,7531449,7531427,0,,15061305,15061283,0,2515234261,2891766336,1571,0,0,0,
7529631,7529631,0,,7531323,7531323,0,,15060954,15060954,0,2515179318,2891705088,1900,0,0,0,
7529843,7529843,0,,7531256,7531256,0,,15061099,15061099,0,2515203533,2891729088,1751,0,0,0,
7529459,7529459,0,,7530757,7530789,0,,15060216,15060248,0,2515061416,2891569728,2575,0,0,0,
7529777,7529777,0,,7531130,7531130,0,,15060907,15060907,0,2515166125,2891692032,1940,0,0,0,
7529568,7529568,0,,7530879,7530877,0,,15060447,15060445,0,2515094649,2891605440,2440,0,0,0,
7529883,7529883,0,,7531270,7531240,0,,15061153,15061123,0,2515212551,2891739840,1812,0,0,0,
7529328,7529328,0,,7531329,7531359,0,,15060657,15060687,0,2515129719,2891647680,2190,0,0,0,
7529756,7529756,0,,7530996,7530998,0,,15060752,15060754,0,2515145584,2891665152,2114,0,0,0,
7529788,7529788,0,,7530639,7530613,0,,15060427,15060401,0,2515092311,2891596608,2460,0,0,0,
7529900,7529900,0,,7531184,7531178,0,,15061084,15061078,0,2515200026,2891727360,1779,0,0,0,
7529531,7529531,0,,7531156,7531156,0,,15060687,15060687,0,2515134729,2891653248,2178,0,0,0,
7529613,7529613,0,,7530375,7530381,0,,15059988,15059994,0,2515018998,2891517120,2815,0,0,0,
7529610,7529610,0,,7530515,7530509,0,,15060125,15060119,0,2515039873,2891542848,2740,0,0,0,
7529462,7529462,0,,7531337,7531337,0,,15060799,15060799,0,2515153433,2891673600,2065,0,0,0,
7529530,7529530,0,,7531377,7531377,0,,15060907,15060907,0,2515171469,2891697024,1897,0,0,0,
7529383,7529383,0,,7531090,7531119,0,,15060473,15060502,0,2515098991,2891613312,2261,0,0,0,
7529359,7529359,0,,7531219,7531190,0,,15060578,15060549,0,2515116526,2891628672,2446,0,0,0,
7529603,7529603,0,,7531337,7531342,0,,15060940,15060945,0,2515177815,2891698176,2005,0,0,0,
7529583,7529583,0,,7530659,7530654,0,,15060242,15060237,0,2515059579,2891571648,2562,0,0,0,
7529559,7529559,0,,7531422,7531454,0,,15060981,15061013,0,2515183827,2891709120,1843,0,0,0,
7529387,7529387,0,,7531222,7531190,0,,15060609,15060577,0,2515121703,2891636160,2090,0,0,0,
7529486,7529486,0,,7531542,7531572,0,,15061028,15061058,0,2515191676,2891716992,2055,0,0,0,
7529526,7529526,0,,7530467,7530437,0,,15059993,15059963,0,2515018831,2891519040,2441,0,0,0,
7529576,7529576,0,,7531474,7531501,0,,15061050,15061077,0,2515195350,2891720640,2264,0,0,0,
7529462,7529462,0,,7530836,7530841,0,,15060298,15060303,0,2515075110,2891578368,2637,0,0,0,
7529458,7529458,0,,7531069,7531069,0,,15060527,15060527,0,2515102665,2891620992,2226,0,0,0,
801077,801077,0,,803017,802985,0,,1604094,1604062,0,267883698,307979904,2013,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
7482523,7482523,0,,7364470,7364502,0,,14846993,14847025,0,2479447831,2850628800,235743,0,0,0,
8702591,8702591,0,,8549318,8549286,0,,17251909,17251877,0,2881068803,3312364032,284883,0,0,0,
8694291,8694291,0,,8549369,8549399,0,,17243660,17243690,0,2879691220,3310784832,291015,0,0,0,
8721734,8721734,0,,8580621,8580609,0,,17302355,17302343,0,2889493285,3322049856,234318,0,0,0,
8687719,8687719,0,,8561083,8561097,0,,17248802,17248816,0,2880549934,3311772672,286058,0,0,0,
8716572,8716572,0,,8579540,8579539,0,,17296112,17296111,0,2888450704,3320853312,240551,0,0,0,
8687725,8687725,0,,8576035,8576036,0,,17263760,17263761,0,2883053264,3314642112,271634,0,0,0,
8692519,8692519,0,,8570397,8570397,0,,17262916,17262916,0,2882901628,3314480832,272409,0,0,0,
8693909,8693909,0,,8569246,8569245,0,,17263155,17263154,0,2882946885,3314524608,272913,0,0,0,
8705257,8705257,0,,8549450,8549419,0,,17254707,17254676,0,2881536069,3312903936,281930,0,0,0,
8705448,8705448,0,,8574866,8574898,0,,17280314,17280346,0,2885812438,3317820288,254780,0,0,0,
8697023,8697023,0,,8561547,8561547,0,,17258570,17258570,0,2882181190,3313645824,277139,0,0,0,
8679908,8679908,0,,8514326,8514324,0,,17194234,17194232,0,2871442088,3301292160,341814,0,0,0,
8682927,8682927,0,,8551464,8551466,0,,17234391,17234393,0,2878138287,3309003648,301857,0,0,0,
8663217,8663217,0,,8569383,8569383,0,,17232600,17232600,0,2877844200,3308659008,302412,0,0,0,
8676870,8676870,0,,8542470,8542470,0,,17219340,17219340,0,2875629780,3306113280,316580,0,0,0,
8675135,8675135,0,,8541801,8541801,0,,17216936,17216936,0,2875228312,3305651712,318812,0,0,0,
8688679,8688679,0,,8517705,8517705,0,,17206384,17206384,0,2873466128,3303625728,329552,0,0,0,
8686195,8686195,0,,8524431,8524431,0,,17210626,17210626,0,2874174542,3304440192,325972,0,0,0,
8696397,8696397,0,,8543393,8543392,0,,17239790,17239789,0,2879044930,3310039488,296021,0,0,0,
8687483,8687483,0,,8563756,8563757,0,,17251239,17251240,0,2880956913,3312238080,283724,0,0,0,
8683225,8683225,0,,8584945,8584945,0,,17268170,17268170,0,2883789734,3315494208,267542,0,0,0,
8672692,8672692,0,,8548878,8548878,0,,17221570,17221570,0,2875996846,3306535872,314320,0,0,0,
8689917,8689917,0,,8531406,8531406,0,,17221323,17221323,0,2875960941,3306494016,314858,0,0,0,
8689667,8689667,0,,8535729,8535697,0,,17225396,17225364,0,2876641132,3307276032,310030,0,0,0,
8703893,8703893,0,,8534160,8534192,0,,17238053,17238085,0,2878754851,3309706176,298314,0,0,0,
8693218,8693218,0,,8543377,8543374,0,,17236595,17236592,0,2878516208,3309431808,298547,0,0,0,
8690552,8690552,0,,8533743,8533746,0,,17224295,17224298,0,2876452422,3307059072,311918,0,0,0,
8683510,8683510,0,,8543995,8543995,0,,17227505,17227505,0,2876998679,3307680960,307942,0,0,0,
8690077,8690077,0,,8538677,8538677,0,,17228754,17228754,0,2877201918,3307920768,307178,0,0,0,
8684750,8684750,0,,8561650,8561648,0,,17246400,17246398,0,2880143456,3311308416,289622,0,0,0,
8702411,8702411,0,,8570189,8570159,0,,17272600,17272570,0,2884524200,3316339008,263668,0,0,0,
8698471,8698471,0,,8531551,8531583,0,,17230022,17230054,0,2877413674,3308164800,305542,0,0,0,
8704880,8704880,0,,8542472,8542472,0,,17247352,17247352,0,2880307784,3311491584,287967,0,0,0,
8694186,8694186,0,,8529353,8529352,0,,17223539,17223538,0,2876336190,3306919296,312683,0,0,0,
8698146,8698146,0,,8524023,8524022,0,,17222169,17222168,0,2876097046,3306656256,313360,0,0,0,
8695153,8695153,0,,8589385,8589355,0,,17284538,17284508,0,2886517846,3318631680,251150,0,0,0,
8672202,8672202,0,,8562569,8562601,0,,17234771,17234803,0,2878206757,3309076032,301619,0,0,0,
8669349,8669349,0,,8561063,8561061,0,,17230412,17230410,0,2877483814,3308244864,305103,0,0,0,
8684843,8684843,0,,8562888,8562889,0,,17247731,17247732,0,2880366067,3311558400,287668,0,0,0,
8678681,8678681,0,,8569222,8569222,0,,17247903,17247903,0,2880399801,3311597376,288346,0,0,0,
8676746,8676746,0,,8560401,8560370,0,,17237147,17237116,0,2878603549,3309532224,298555,0,0,0,
8688634,8688634,0,,8559382,8559411,0,,17248016,17248045,0,2880418672,3311618688,288100,0,0,0,
8665182,8665182,0,,8573193,8573196,0,,17238375,17238378,0,2878808625,3309768576,297079,0,0,0,
8669805,8669805,0,,8565154,8565153,0,,17234959,17234958,0,2878243330,3309111936,300960,0,0,0,
8682380,8682380,0,,8546543,8546544,0,,17228923,17228924,0,2877224964,3307953792,306459,0,0,0,
8683147,8683147,0,,8569239,8569236,0,,17252386,17252383,0,2881148462,3312457152,283172,0,0,0,
8712745,8712745,0,,8555091,8555062,0,,17267836,17267807,0,2883728612,3315424896,267748,0,0,0,
8697409,8697409,0,,8547234,8547266,0,,17244643,17244675,0,2879855381,3310971648,291379,0,0,0,
8704998,8704998,0,,8540387,8540384,0,,17245385,17245382,0,2879984138,3311113344,290892,0,0,0,
8691827,8691827,0,,8553041,8553041,0,,17244868,17244868,0,2879892956,3311014656,290957,0,0,0,
8700607,8700607,0,,8579105,8579076,0,,17279712,17279683,0,2885707061,3317704704,256222,0,0,0,
8715177,8715177,0,,8563573,8563605,0,,17278750,17278782,0,2885551250,3317520576,256343,0,0,0,
8692101,8692101,0,,8549663,8549663,0,,17241764,17241764,0,2879374588,3310418688,294660,0,0,0,
8687910,8687910,0,,8548456,8548456,0,,17236366,17236366,0,2878478466,3309386304,299578,0,0,0,
