Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
13829952,13829952,0,,5118299,5118305,0,,18948251,18948257,0,3638065344,3638069952,800692,0,0,0,
13831022,13831022,0,,5118117,5118111,0,,18949139,18949133,0,3638233536,3638229888,799691,0,0,0,
13833090,13833090,0,,5118880,5118886,0,,18951970,18951976,0,3638779392,3638784768,796975,0,0,0,
13831616,13831616,0,,5118410,5118423,0,,18950026,18950039,0,3638407488,3638400384,798833,0,0,0,
13828265,13828265,0,,5118944,5118942,0,,18947209,18947207,0,3637863744,3637864128,801614,0,0,0,
13831606,13831606,0,,5118050,5118065,0,,18949656,18949671,0,3638336832,3638351424,798836,0,0,0,
13828965,13828965,0,,5118519,5118487,0,,18947484,18947452,0,3637910784,3637901184,801768,0,0,0,
13832840,13832840,0,,5118948,5118948,0,,18951788,18951788,0,3638743296,3638739264,796627,0,0,0,
13830436,13830436,0,,5118297,5118297,0,,18948733,18948733,0,3638156736,3638155392,800298,0,0,0,
13829212,13829212,0,,5118019,5118019,0,,18947231,18947231,0,3637868352,3637869504,800923,0,0,0,
13823464,13823464,0,,5118919,5118919,0,,18942383,18942383,0,3636937536,3636943680,806735,0,0,0,
13832252,13832252,0,,5118333,5118333,0,,18950585,18950585,0,3638512320,3638508288,797843,0,0,0,
13832025,13832025,0,,5118604,5118604,0,,18950629,18950629,0,3638520768,3638538816,797732,0,0,0,
13824276,13824276,0,,5118285,5118285,0,,18942561,18942561,0,3636971712,3636950976,806289,0,0,0,
13824875,13824875,0,,5118618,5118632,0,,18943493,18943507,0,3637153344,3637152960,805633,0,0,0,
13828427,13828427,0,,5118971,5118957,0,,18947398,18947384,0,3637897728,3637897536,801392,0,0,0,
13829542,13829542,0,,5118270,5118270,0,,18947812,18947812,0,3637979904,3637981248,800810,0,0,0,
13828707,13828707,0,,5118111,5118119,0,,18946818,18946826,0,3637790592,3637795392,802112,0,0,0,
