Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
8155446,8155446,0,,8356173,8356178,0,,8623822,8623803,0,,7319549,7319550,0,,8216987,8216969,0,,40671977,40671946,0,10412015616,10412018432,0,0,0,0,
8158996,8158996,0,,8354732,8354735,0,,8622468,8622498,0,,7316781,7316793,0,,8216368,8216366,0,,40669345,40669388,0,10411363328,10411356160,0,0,0,0,
8157091,8157091,0,,8353275,8353290,0,,8621932,8621919,0,,7319804,7319800,0,,8219759,8219776,0,,40671861,40671876,0,10412002816,10412018944,0,0,0,0,
8156633,8156633,0,,8356522,8356495,0,,8624708,8624719,0,,7319313,7319312,0,,8214439,8214430,0,,40671615,40671589,0,10411928576,10411910400,0,0,0,0,
8159559,8159559,0,,8353795,8353795,0,,8621381,8621375,0,,7318737,7318745,0,,8217937,8217931,0,,40671409,40671405,0,10411875328,10411894784,0,0,0,0,
8156233,8156233,0,,8356355,8356355,0,,8623054,8623032,0,,7318548,7318548,0,,8217832,8217818,0,,40672022,40671986,0,10412028416,10412025344,0,0,0,0,
155639,155639,0,,158719,158719,0,,164179,164179,0,,139617,139585,0,,157085,157085,0,,775239,775207,0,198452992,198428160,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
7503875,7503875,0,,7683832,7683863,0,,7927952,7927962,0,,6730981,6730981,0,,7557550,7557574,0,,37404190,37404255,0,9575480320,9575498496,0,0,0,0,
8573699,8573699,0,,8780924,8780921,0,,9062488,9062478,0,,7692174,7692188,0,,8636422,8636421,0,,42745707,42745707,0,10942904064,10942905600,0,0,0,0,
8571463,8571463,0,,8778808,8778795,0,,9060446,9060446,0,,7690048,7690034,0,,8633947,8633924,0,,42734712,42734662,0,10940082176,10940083712,0,0,0,0,
8565308,8565308,0,,8772433,8772445,0,,9053424,9053445,0,,7684140,7684171,0,,8627136,8627136,0,,42702441,42702505,0,10931838464,10931831552,0,0,0,0,
8572141,8572141,0,,8779663,8779636,0,,9060969,9060971,0,,7690537,7690506,0,,8634483,8634483,0,,42737793,42737737,0,10940863488,10940866816,0,0,0,0,
8573815,8573815,0,,8781019,8781040,0,,9062726,9062703,0,,7692331,7692363,0,,8636652,8636671,0,,42746543,42746592,0,10943111680,10943121152,0,0,0,0,
8571790,8571790,0,,8779261,8779259,0,,9060422,9060453,0,,7690224,7690192,0,,8633892,8633905,0,,42735589,42735599,0,10940326400,10940311808,0,0,0,0,
8567858,8567858,0,,8775854,8775852,0,,9057743,9057730,0,,7687252,7687260,0,,8630870,8630848,0,,42719577,42719548,0,10936205568,10936201984,0,0,0,0,
8553709,8553709,0,,8760227,8760242,0,,9043899,9043913,0,,7674791,7674810,0,,8617527,8617517,0,,42650153,42650191,0,10918447616,10918466560,0,0,0,0,
8553739,8553739,0,,8762750,8762718,0,,9041827,9041795,0,,7676288,7676261,0,,8616271,8616302,0,,42650875,42650815,0,10918613760,10918601984,0,0,0,0,
8557134,8557134,0,,8765450,8765450,0,,9046393,9046412,0,,7677794,7677814,0,,8620155,8620124,0,,42666926,42666934,0,10922729984,10922737408,0,0,0,0,
8559058,8559058,0,,8764651,8764651,0,,9046319,9046332,0,,7679368,7679348,0,,8622849,8622866,0,,42672245,42672255,0,10924090624,10924092672,0,0,0,0,
8558532,8558532,0,,8763424,8763424,0,,9043725,9043721,0,,7676908,7676917,0,,8620516,8620522,0,,42663105,42663116,0,10921764352,10921757696,0,0,0,0,
8531823,8531823,0,,8737400,8737432,0,,9017402,9017394,0,,7653283,7653296,0,,8591970,8591976,0,,42531878,42531921,0,10888166144,10888159488,0,0,0,0,
8537509,8537509,0,,8745488,8745475,0,,9025233,9025213,0,,7658770,7658761,0,,8599402,8599400,0,,42566402,42566358,0,10896994560,10896992768,0,0,0,0,
8541981,8541981,0,,8750044,8750053,0,,9031605,9031618,0,,7665434,7665440,0,,8605949,8605922,0,,42595013,42595014,0,10904322304,10904327936,0,0,0,0,
8550923,8550923,0,,8759336,8759340,0,,9039749,9039768,0,,7672889,7672888,0,,8613318,8613340,0,,42636215,42636259,0,10914868480,10914886912,0,0,0,0,
2463265,2463265,0,,2517940,2517908,0,,2599504,2599472,0,,2208077,2208059,0,,2480292,2480270,0,,12269078,12268974,0,3140871168,3140836608,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4188619,4188619,0,,4287711,4287711,0,,4423512,4423512,0,,3757426,3757426,0,,4218230,4218262,0,,20875498,20875530,0,5344133120,5344157952,0,0,0,0,
8573484,8573484,0,,8780977,8780977,0,,9062764,9062764,0,,7691959,7691988,0,,8636166,8636134,0,,42745350,42745347,0,10942814976,10942801152,0,0,0,0,
8573296,8573296,0,,8780643,8780673,0,,9062295,9062327,0,,7691877,7691880,0,,8635812,8635812,0,,42743923,42743988,0,10942449152,10942464000,0,0,0,0,
8568130,8568130,0,,8775000,8774993,0,,9056709,9056677,0,,7687165,7687133,0,,8630980,8631012,0,,42717984,42717945,0,10935795456,10935796992,0,0,0,0,
8574492,8574492,0,,8781961,8781938,0,,9063062,9063062,0,,7692490,7692505,0,,8637195,8637195,0,,42749200,42749192,0,10943802880,10943795456,0,0,0,0,
8573392,8573392,0,,8780792,8780824,0,,9062224,9062224,0,,7691759,7691755,0,,8635965,8635957,0,,42744132,42744152,0,10942501888,10942502400,0,0,0,0,
8573368,8573368,0,,8780794,8780794,0,,9062125,9062148,0,,7691746,7691752,0,,8635949,8635939,0,,42743982,42744001,0,10942462208,10942457344,0,0,0,0,
8567954,8567954,0,,8774927,8774908,0,,9057743,9057730,0,,7687616,7687620,0,,8629908,8629926,0,,42718148,42718138,0,10935847424,10935847936,0,0,0,0,
8550093,8550093,0,,8758114,8758133,0,,9036351,9036341,0,,7669057,7669059,0,,8611202,8611170,0,,42624817,42624796,0,10911945216,10911932928,0,0,0,0,
8558688,8558688,0,,8765907,8765907,0,,9048924,9048943,0,,7678910,7678887,0,,8622500,8622520,0,,42674929,42674945,0,10924776192,10924790528,0,0,0,0,
8564108,8564108,0,,8771222,8771200,0,,9053932,9053945,0,,7684120,7684152,0,,8627338,8627346,0,,42700720,42700751,0,10931400448,10931400448,0,0,0,0,
8560136,8560136,0,,8769283,8769273,0,,9048691,9048691,0,,7681247,7681245,0,,8623226,8623214,0,,42682583,42682559,0,10926739456,10926736384,0,0,0,0,
8556590,8556590,0,,8764231,8764231,0,,9044697,9044671,0,,7677639,7677618,0,,8618548,8618564,0,,42661705,42661674,0,10921378816,10921382912,0,0,0,0,
8543170,8543170,0,,8748690,8748722,0,,9028971,9028997,0,,7664607,7664598,0,,8606941,8606909,0,,42592379,42592396,0,10903658752,10903666432,0,0,0,0,
8553319,8553319,0,,8758367,8758367,0,,9039878,9039846,0,,7673218,7673227,0,,8616641,8616641,0,,42641423,42641400,0,10916198400,10916197120,0,0,0,0,
8563613,8563613,0,,8770569,8770551,0,,9051636,9051657,0,,7682468,7682471,0,,8624419,8624451,0,,42692705,42692743,0,10929345280,10929330944,0,0,0,0,
8561924,8561924,0,,8767402,8767420,0,,9049116,9049119,0,,7680418,7680426,0,,8622413,8622381,0,,42681273,42681270,0,10926402048,10926409984,0,0,0,0,
4759201,4759201,0,,4874776,4874744,0,,5030500,5030476,0,,4270079,4270059,0,,4794451,4794451,0,,23729007,23728931,0,6074606336,6074587136,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
3007187,3007187,0,,3080518,3080550,0,,3178264,3178264,0,,2699039,2699052,0,,3028686,3028709,0,,14993694,14993762,0,3838406656,3838415872,0,0,0,0,
8573102,8573102,0,,8780525,8780525,0,,9061968,9062000,0,,7691533,7691530,0,,8635716,8635721,0,,42742844,42742878,0,10942164992,10942174464,0,0,0,0,
8571927,8571927,0,,8779522,8779490,0,,9060942,9060930,0,,7690776,7690766,0,,8634498,8634500,0,,42737665,42737613,0,10940833792,10940828160,0,0,0,0,
8568595,8568595,0,,8776083,8776083,0,,9057854,9057857,0,,7688056,7688088,0,,8631580,8631582,0,,42722168,42722205,0,10936879616,10936894720,0,0,0,0,
