Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1072025,1072025,0,,1072023,1072034,0,,1072015,1072030,0,,1072016,1072033,0,,1072019,1072038,0,,5360098,5360160,0,718254606,1029150720,0,0,0,0,
1999868,1999868,0,,1999864,1999864,0,,1999863,1999848,0,,1999847,1999845,0,,1999854,1999840,0,,9999296,9999265,0,1339908344,1919858880,0,0,0,0,
1999858,1999858,0,,1999864,1999853,0,,1999840,1999840,0,,1999855,1999840,0,,1999845,1999840,0,,9999262,9999231,0,1339896954,1919852352,0,0,0,0,
1999864,1999864,0,,1999861,1999881,0,,1999847,1999858,0,,1999847,1999859,0,,1999857,1999857,0,,9999276,9999319,0,1339904458,1919874624,0,0,0,0,
1999873,1999873,0,,1999876,1999856,0,,1999865,1999854,0,,1999865,1999853,0,,1999855,1999855,0,,9999334,9999291,0,1339909282,1919858496,0,0,0,0,
1999866,1999866,0,,1999861,1999873,0,,1999851,1999872,0,,1999850,1999871,0,,1999852,1999865,0,,9999280,9999347,0,1339905128,1919874624,0,0,0,0,
1999871,1999871,0,,1999876,1999864,0,,1999861,1999840,0,,1999862,1999841,0,,1999860,1999847,0,,9999330,9999263,0,1339908612,1919858496,0,0,0,0,
1999808,1999808,0,,1999808,1999822,0,,1999792,1999804,0,,1999792,1999807,0,,1999791,1999803,0,,9998991,9999044,0,1339868010,1919816448,0,0,0,0,
1999878,1999878,0,,1999877,1999863,0,,1999869,1999857,0,,1999869,1999854,0,,1999870,1999858,0,,9999363,9999310,0,1339911426,1919867520,0,0,0,0,
1999858,1999858,0,,1999854,1999866,0,,1999847,1999864,0,,1999841,1999849,0,,1999841,1999849,0,,9999241,9999286,0,1339900438,1919865984,0,0,0,0,
1999872,1999872,0,,1999878,1999866,0,,1999859,1999842,0,,1999865,1999857,0,,1999864,1999856,0,,9999338,9999293,0,1339909148,1919861184,0,0,0,0,
1999872,1999872,0,,1999862,1999878,0,,1999852,1999872,0,,1999852,1999872,0,,1999857,1999872,0,,9999295,9999366,0,1339905530,1919878272,0,0,0,0,
1999866,1999866,0,,1999875,1999859,0,,1999860,1999840,0,,1999860,1999840,0,,1999855,1999840,0,,9999316,9999245,0,1339908344,1919855040,0,0,0,0,
1999854,1999854,0,,1999853,1999856,0,,1999841,1999847,0,,1999841,1999850,0,,1999841,1999848,0,,9999230,9999255,0,1339898026,1919858880,0,0,0,0,
1999883,1999883,0,,1999884,1999881,0,,1999871,1999865,0,,1999871,1999862,0,,1999871,1999864,0,,9999380,9999355,0,1339915714,1919874240,0,0,0,0,
1999853,1999853,0,,1999853,1999854,0,,1999840,1999841,0,,1999840,1999841,0,,1999841,1999841,0,,9999227,9999230,0,1339896686,1919857920,0,0,0,0,
1999884,1999884,0,,1999884,1999883,0,,1999872,1999871,0,,1999872,1999871,0,,1999871,1999871,0,,9999383,9999380,0,1339917054,1919875200,0,0,0,0,
1999853,1999853,0,,1999853,1999854,0,,1999840,1999844,0,,1999840,1999842,0,,1999841,1999846,0,,9999227,9999239,0,1339897892,1919857344,0,0,0,0,
