Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2338338,2338338,0,,14178372,14178371,0,,1227201,1227201,0,,17743911,17743910,0,3406830720,3406830528,90012,0,0,0,
2338583,2338583,0,,14176294,14176295,0,,1227260,1227260,0,,17742137,17742138,0,3406490496,3406485120,92051,0,0,0,
700081,700081,0,,4251307,4251275,0,,367402,367402,0,,5318790,5318758,0,1021201536,1021198272,28456,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2274033,2274033,0,,13455930,13455962,0,,1193451,1193451,0,,16923414,16923446,0,3249295488,3249304512,408789,0,0,0,
2391775,2391775,0,,14161279,14161279,0,,1255250,1255250,0,,17808304,17808304,0,3419200896,3419199168,433588,0,0,0,
2391862,2391862,0,,14168859,14168859,0,,1255152,1255152,0,,17815873,17815873,0,3420647232,3420643584,426232,0,0,0,
2392098,2392098,0,,14161187,14161155,0,,1255384,1255386,0,,17808669,17808639,0,3419258688,3419272704,433528,0,0,0,
2391665,2391665,0,,14162346,14162346,0,,1255238,1255236,0,,17809249,17809247,0,3419375424,3419372736,432052,0,0,0,
2391955,2391955,0,,14166774,14166806,0,,1255186,1255186,0,,17813915,17813947,0,3420271680,3420265536,428212,0,0,0,
2392118,2392118,0,,14169504,14169504,0,,1255411,1255411,0,,17817033,17817033,0,3420876480,3420870720,425766,0,0,0,
2391731,2391731,0,,14164469,14164468,0,,1255259,1255259,0,,17811459,17811458,0,3419799936,3419796864,430216,0,0,0,
2391918,2391918,0,,14168033,14168034,0,,1255166,1255167,0,,17815117,17815119,0,3420502848,3420504000,426327,0,0,0,
2391922,2391922,0,,14164467,14164435,0,,1255248,1255247,0,,17811637,17811604,0,3419827968,3419842368,430597,0,0,0,
2391859,2391859,0,,14166498,14166530,0,,1255365,1255365,0,,17813722,17813754,0,3420240768,3420231552,428183,0,0,0,
2391878,2391878,0,,14166083,14166081,0,,1255216,1255218,0,,17813177,17813177,0,3420129984,3420123840,428302,0,0,0,
2391759,2391759,0,,14165530,14165529,0,,1255175,1255186,0,,17812464,17812474,0,3419995008,3419994816,429808,0,0,0,
2392131,2392131,0,,14166599,14166602,0,,1255422,1255409,0,,17814152,17814142,0,3420309120,3420315456,428230,0,0,0,
2391831,2391831,0,,14163657,14163657,0,,1255225,1255225,0,,17810713,17810713,0,3419663040,3419670720,430524,0,0,0,
2391628,2391628,0,,14169417,14169417,0,,1255089,1255089,0,,17816134,17816134,0,3420691584,3420686208,425803,0,0,0,
2392286,2392286,0,,14159031,14159029,0,,1255513,1255513,0,,17806830,17806828,0,3418917120,3418914432,435787,0,0,0,
2391851,2391851,0,,14167007,14167009,0,,1255250,1255250,0,,17814108,17814110,0,3420309312,3420310272,427610,0,0,0,
2391670,2391670,0,,14168653,14168653,0,,1255088,1255088,0,,17815411,17815411,0,3420558720,3420559488,426586,0,0,0,
2392258,2392258,0,,14171208,14171176,0,,1255515,1255515,0,,17818981,17818949,0,3421238208,3421243008,423543,0,0,0,
2391837,2391837,0,,14166172,14166172,0,,1255217,1255218,0,,17813226,17813227,0,3420139776,3420133632,428081,0,0,0,
2391516,2391516,0,,14167332,14167364,0,,1255021,1255020,0,,17813869,17813900,0,3420262464,3420267072,426554,0,0,0,
2392173,2392173,0,,14169448,14169448,0,,1255450,1255450,0,,17817071,17817071,0,3420883776,3420875904,425489,0,0,0,
1632601,1632601,0,,9677429,9677397,0,,856802,856802,0,,12166832,12166800,0,2336025600,2336022528,292385,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1403179,1403179,0,,8176447,8176479,0,,736426,736429,0,,10316052,10316087,0,1980688704,1980693504,374508,0,0,0,
2428852,2428852,0,,14152169,14152169,0,,1274721,1274718,0,,17855742,17855739,0,3428301888,3428303040,669054,0,0,0,
2429189,2429189,0,,14156101,14156101,0,,1274784,1274784,0,,17860074,17860074,0,3429134208,3429134400,665381,0,0,0,
2429065,2429065,0,,14156153,14156153,0,,1274769,1274771,0,,17859987,17859989,0,3429117888,3429121152,665349,0,0,0,
2428629,2428629,0,,14157277,14157276,0,,1274488,1274486,0,,17860394,17860391,0,3429195072,3429195456,663952,0,0,0,
2429077,2429077,0,,14157884,14157885,0,,1274784,1274784,0,,17861745,17861746,0,3429455232,3429445440,662905,0,0,0,
