Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1999870,1999870,0,,1999874,1999859,0,,1999866,1999849,0,,1999862,1999846,0,,1999860,1999846,0,,0,0,0,,9999332,9999270,0,1229917836,1919861376,0,0,0,0,
1999858,1999858,0,,1999854,1999866,0,,1999844,1999865,0,,1999843,1999851,0,,1999845,1999866,0,,0,0,0,,9999244,9999306,0,1229907996,1919868096,0,0,0,0,
1999874,1999874,0,,1999877,1999865,0,,1999861,1999840,0,,1999863,1999855,0,,1999861,1999840,0,,0,0,0,,9999336,9999274,0,1229917344,1919857728,0,0,0,0,
1999873,1999873,0,,1999876,1999884,0,,1999855,1999872,0,,1999854,1999872,0,,1999851,1999869,0,,0,0,0,,9999309,9999370,0,1229915007,1919879040,0,0,0,0,
1999864,1999864,0,,1999861,1999854,0,,1999857,1999841,0,,1999858,1999841,0,,1999861,1999844,0,,0,0,0,,9999301,9999244,0,1229914638,1919858880,0,0,0,0,
1999878,1999878,0,,1999879,1999878,0,,1999866,1999865,0,,1999866,1999865,0,,1999865,1999864,0,,0,0,0,,9999354,9999350,0,1229919927,1919871168,0,0,0,0,
1999868,1999868,0,,1999863,1999882,0,,1999859,1999859,0,,1999852,1999872,0,,1999853,1999869,0,,0,0,0,,9999295,9999350,0,1229913285,1919877696,0,0,0,0,
1999869,1999869,0,,1999874,1999855,0,,1999853,1999853,0,,1999860,1999840,0,,1999859,1999843,0,,0,0,0,,9999315,9999260,0,1229915745,1919856192,0,0,0,0,
1999880,1999880,0,,1999863,1999884,0,,1999860,1999872,0,,1999853,1999872,0,,1999872,1999872,0,,0,0,0,,9999328,9999380,0,1229923740,1919880192,0,0,0,0,
1999857,1999857,0,,1999874,1999854,0,,1999853,1999841,0,,1999859,1999841,0,,1999841,1999846,0,,0,0,0,,9999284,9999239,0,1229906520,1919856192,0,0,0,0,
1999859,1999859,0,,1999854,1999862,0,,1999844,1999862,0,,1999846,1999857,0,,1999845,1999858,0,,0,0,0,,9999248,9999298,0,1229907627,1919865984,0,0,0,0,
1999878,1999878,0,,1999883,1999874,0,,1999867,1999849,0,,1999866,1999854,0,,1999866,1999848,0,,0,0,0,,9999360,9999303,0,1229920173,1919863296,0,0,0,0,
1999858,1999858,0,,1999858,1999874,0,,1999841,1999848,0,,1999846,1999860,0,,1999845,1999858,0,,0,0,0,,9999248,9999298,0,1229908365,1919868288,0,0,0,0,
1999868,1999868,0,,1999859,1999858,0,,1999854,1999857,0,,1999842,1999845,0,,1999841,1999848,0,,0,0,0,,9999264,9999276,0,1229913777,1919857728,0,0,0,0,
1999867,1999867,0,,1999874,1999866,0,,1999858,1999856,0,,1999864,1999854,0,,1999872,1999852,0,,0,0,0,,9999335,9999295,0,1229915745,1919875200,0,0,0,0,
1999876,1999876,0,,1999878,1999871,0,,1999864,1999856,0,,1999865,1999858,0,,1999860,1999860,0,,0,0,0,,9999343,9999321,0,1229916483,1919859072,0,0,0,0,
1999864,1999864,0,,1999862,1999871,0,,1999854,1999854,0,,1999851,1999871,0,,1999852,1999871,0,,0,0,0,,9999283,9999331,0,1229912916,1919875008,0,0,0,0,
1999867,1999867,0,,1999870,1999866,0,,1999845,1999858,0,,1999861,1999841,0,,1999845,1999841,0,,0,0,0,,9999288,9999273,0,1229915376,1919856960,0,0,0,0,
1999868,1999868,0,,1999866,1999878,0,,1999853,1999853,0,,1999847,1999866,0,,1999858,1999860,0,,0,0,0,,9999292,9999325,0,1229910456,1919872896,0,0,0,0,
1999875,1999875,0,,1999876,1999859,0,,1999872,1999859,0,,1999865,1999846,0,,1999869,1999852,0,,0,0,0,,9999357,9999291,0,1229919681,1919864256,0,0,0,0,
957203,957203,0,,957202,957202,0,,957197,957197,0,,957197,957197,0,,957197,957197,0,,0,0,0,,4785996,4785996,0,588677139,918908352,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1297886,1297886,0,,1300435,1300467,0,,1261525,1261557,0,,1267750,1267782,0,,1237958,1237987,0,,0,0,0,,6365554,6365679,0,782963142,1222210368,877103,0,0,0,
2698509,2698509,0,,2700931,2700930,0,,2621093,2621093,0,,2633420,2633419,0,,2576310,2576311,0,,0,0,0,,13230263,13230262,0,1627329975,2540213568,1832685,0,0,0,
