Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
8134288,8134288,0,,8134288,8134289,0,,8134246,8134247,0,,8134236,8134238,0,,8134237,8134238,0,,40671295,40671300,0,8052917400,10411846400,0,0,0,0,
8134382,8134382,0,,8134383,8134378,0,,8134322,8134317,0,,8134331,8134326,0,,8134329,8134325,0,,40671747,40671728,0,8053002144,10411965184,0,0,0,0,
8134398,8134398,0,,8134387,8134392,0,,8134346,8134343,0,,8134346,8134343,0,,8134348,8134348,0,,40671825,40671824,0,8053028478,10411985664,0,0,0,0,
8134238,8134238,0,,8134248,8134247,0,,8134185,8134193,0,,8134186,8134193,0,,8134186,8134189,0,,40671043,40671060,0,8052862554,10411795456,0,0,0,0,
8133161,8133161,0,,8133170,8133154,0,,8133121,8133103,0,,8133119,8133113,0,,8133119,8133112,0,,40665690,40665643,0,8051797314,10410396672,0,0,0,0,
8134394,8134394,0,,8134385,8134402,0,,8134333,8134351,0,,8134343,8134350,0,,8134342,8134350,0,,40671797,40671847,0,8053025706,10411992320,0,0,0,0,
8134033,8134033,0,,8134033,8134020,0,,8133986,8133968,0,,8133976,8133960,0,,8133978,8133973,0,,40670006,40669954,0,8052658614,10411508992,0,0,0,0,
8134319,8134319,0,,8134336,8134332,0,,8134281,8134299,0,,8134282,8134298,0,,8134280,8134285,0,,40671498,40671533,0,8052959376,10411912192,0,0,0,0,
8134246,8134246,0,,8134228,8134246,0,,8134185,8134185,0,,8134185,8134185,0,,8134195,8134177,0,,40671039,40671039,0,8052865524,10411794176,0,0,0,0,
188835,188835,0,,188836,188818,0,,188826,188808,0,,188825,188807,0,,188816,188816,0,,944138,944084,0,186925266,241667584,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
7602934,7602934,0,,7602933,7602950,0,,7602885,7602902,0,,7602885,7602901,0,,7602885,7602901,0,,38014522,38014588,0,7526888424,9731752704,0,0,0,0,
8560274,8560274,0,,8560282,8560265,0,,8560229,8560230,0,,8560229,8560230,0,,8560220,8560219,0,,42801234,42801218,0,8474634234,10957102848,0,0,0,0,
8559522,8559522,0,,8559515,8559529,0,,8559460,8559455,0,,8559460,8559456,0,,8559468,8559467,0,,42797425,42797429,0,8473897872,10956148224,0,0,0,0,
8546709,8546709,0,,8546709,8546711,0,,8546654,8546658,0,,8546662,8546649,0,,8546663,8546667,0,,42733397,42733394,0,8461208448,10939747072,0,0,0,0,
8558900,8558900,0,,8558890,8558892,0,,8558855,8558838,0,,8558847,8558865,0,,8558847,8558847,0,,42794339,42794342,0,8473290408,10955346944,0,0,0,0,
8561228,8561228,0,,8561238,8561236,0,,8561166,8561182,0,,8561165,8561164,0,,8561166,8561165,0,,42805963,42805975,0,8475575922,10958339072,0,0,0,0,
8561263,8561263,0,,8561263,8561264,0,,8561209,8561210,0,,8561209,8561208,0,,8561209,8561208,0,,42806153,42806153,0,8475618294,10958375168,0,0,0,0,
8556560,8556560,0,,8556560,8556561,0,,8556506,8556505,0,,8556507,8556509,0,,8556506,8556508,0,,42782639,42782643,0,8470963314,10952356608,0,0,0,0,
8542791,8542791,0,,8542790,8542791,0,,8542736,8542738,0,,8542736,8542736,0,,8542736,8542736,0,,42713789,42713792,0,8457330816,10934721024,0,0,0,0,
8554128,8554128,0,,8554137,8554118,0,,8554074,8554073,0,,8554074,8554073,0,,8554075,8554073,0,,42770488,42770465,0,8468555436,10949248256,0,0,0,0,
8555514,8555514,0,,8555506,8555524,0,,8555461,8555461,0,,8555460,8555460,0,,8555459,8555461,0,,42777400,42777420,0,8469925794,10951019008,0,0,0,0,
8558896,8558896,0,,8558896,8558895,0,,8558841,8558841,0,,8558842,8558843,0,,8558842,8558841,0,,42794317,42794316,0,8473274568,10955345408,0,0,0,0,
8552291,8552291,0,,8552290,8552290,0,,8552246,8552229,0,,8552246,8552246,0,,8552237,8552236,0,,42761310,42761292,0,8466739380,10946886400,0,0,0,0,
8539955,8539955,0,,8539956,8539956,0,,8539892,8539910,0,,8539893,8539892,0,,8539901,8539903,0,,42699597,42699616,0,8454520404,10931087872,0,0,0,0,
8546076,8546076,0,,8546076,8546075,0,,8546023,8546020,0,,8546020,8546021,0,,8546022,8546021,0,,42730217,42730213,0,8460582174,10938952960,0,0,0,0,
