Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
8850989,8850989,0,,8851000,8851010,0,,8848460,8848463,0,,8845914,8845914,0,,8848475,8848460,0,,8848467,8848466,0,,53093305,53093302,0,7326863394,10193897856,0,0,0,0,
428852,428852,0,,428844,428817,0,,428720,428693,0,,428588,428588,0,,428707,428691,0,,428712,428689,0,,2572423,2572330,0,354985266,493880640,0,0,0,0,
1744265,1744265,0,,1744272,1744304,0,,1743763,1743792,0,,1743255,1743284,0,,1743780,1743802,0,,1743779,1743798,0,,10463114,10463245,0,1443929604,2008960320,0,0,0,0,
9389201,9389201,0,,9389194,9389162,0,,9386509,9386497,0,,9383822,9383810,0,,9386482,9386488,0,,9386487,9386491,0,,56321695,56321649,0,7772385768,10813767936,0,0,0,0,
9391255,9391255,0,,9391272,9391272,0,,9388558,9388570,0,,9385864,9385875,0,,9388584,9388581,0,,9388586,9388582,0,,56334119,56334135,0,7774113666,10816145664,0,0,0,0,
9390888,9390888,0,,9390880,9390903,0,,9388193,9388193,0,,9385511,9385506,0,,9388174,9388180,0,,9388184,9388187,0,,56331830,56331857,0,7773796128,10815717120,0,0,0,0,
9394265,9394265,0,,9394269,9394246,0,,9391579,9391579,0,,9388876,9388879,0,,9391599,9391581,0,,9391582,9391578,0,,56352170,56352128,0,7776598080,10819615104,0,0,0,0,
9383985,9383985,0,,9383993,9384012,0,,9381306,9381301,0,,9378614,9378614,0,,9381302,9381308,0,,9381292,9381304,0,,56290492,56290524,0,7768088586,10807775808,0,0,0,0,
9388363,9388363,0,,9388342,9388352,0,,9385675,9385651,0,,9382959,9382963,0,,9385631,9385644,0,,9385675,9385645,0,,56316645,56316618,0,7771689696,10812795840,0,0,0,0,
9393809,9393809,0,,9393809,9393812,0,,9391114,9391114,0,,9388422,9388422,0,,9391147,9391115,0,,9391105,9391134,0,,56349406,56349406,0,7776226308,10819088064,0,0,0,0,
9392002,9392002,0,,9392018,9392017,0,,9389292,9389322,0,,9386614,9386616,0,,9389314,9389346,0,,9389287,9389289,0,,56338527,56338592,0,7774713000,10816999872,0,0,0,0,
9392092,9392092,0,,9392068,9392063,0,,9389396,9389383,0,,9386710,9386678,0,,9389380,9389348,0,,9389401,9389385,0,,56339047,56338949,0,7774779378,10817084736,0,0,0,0,
